experimentID,EncodingMethod,uiLogName,variationPercentage,percentageMotifsOverLog,motifLength,windowSize,windowSizeMatch,motifsToBeDiscovered,motifsDiscovered,numberOfOccurrancesToBeDiscovered,OccurancesDiscovered/TP,topMotifsT,DiscoveryPercentage,alignmentAccuracy,Precision,Recall,F1-Score,ExecutionTime,executionTimeEncoding,executionTimeDistanceMeasure,motifSpots,discoveredSpots,DiscoveryLoops
0.0,HierarchyAware,LenLog_1_10_1_10_5_10_500.csv,10,10.0,5,5,0,1,1,10,1,10,10.0,0.0,0.1,0.1,0.10000000000000002,0.17441391944885254,0.15323376655578613,0.15323376655578613,"[492, 439, 395, 383, 210, 201, 175, 148, 141, 33]",[139],1
0.1,HierarchyAware,LenLog_1_10_1_10_5_10_500.csv,10,10.0,5,10,5,1,1,10,3,10,30.0,0.6666666666666666,0.3,0.3,0.3,0.17252779006958008,0.15323376655578613,0.15323376655578613,"[492, 439, 395, 383, 210, 201, 175, 148, 141, 33]","[140, 179, 439]",1
0.2,HierarchyAware,LenLog_1_10_1_10_5_10_500.csv,10,10.0,5,15,10,1,1,10,4,10,40.0,0.3214285714285714,0.4,0.4,0.4000000000000001,0.16858124732971191,0.15323376655578613,0.15323376655578613,"[492, 439, 395, 383, 210, 201, 175, 148, 141, 33]","[389, 136, 437, 389]",1
0.3,HierarchyAware,LenLog_1_10_1_10_5_10_500.csv,10,10.0,5,20,15,1,1,10,6,10,60.0,0.5833333333333334,0.6,0.6,0.6,0.18065643310546875,0.15323376655578613,0.15323376655578613,"[492, 439, 395, 383, 210, 201, 175, 148, 141, 33]","[204, 150, 204, 150, 435, 382]",1
0.4,HierarchyAware,LenLog_1_10_1_10_5_10_500.csv,10,10.0,5,25,20,1,1,10,4,10,40.0,0.41666666666666663,0.4,0.4,0.4000000000000001,0.18588662147521973,0.15323376655578613,0.15323376655578613,"[492, 439, 395, 383, 210, 201, 175, 148, 141, 33]","[192, 198, 154, 438]",1
0.5,HierarchyAware,LenLog_1_10_1_10_5_10_500.csv,10,10.0,5,30,25,1,1,10,9,20,90.0,0.5037037037037037,0.45,0.9,0.6,0.19104266166687012,0.15323376655578613,0.15323376655578613,"[492, 439, 395, 383, 210, 201, 175, 148, 141, 33]","[27, 198, 407, 138, 175, 198, 138, 424, 377]",2
1.0,HierarchyAware,LenLog_1_1_10_5_10_500.csv,0,10.0,5,5,0,1,1,10,8,20,80.0,1.0,0.4,0.8,0.5333333333333333,0.2107558250427246,0.1762998104095459,0.1762998104095459,"[493, 460, 428, 366, 307, 292, 282, 264, 233, 104]","[292, 264, 233, 428, 460, 493, 307, 282]",2
1.1,HierarchyAware,LenLog_1_1_10_5_10_500.csv,0,10.0,5,10,5,1,1,10,5,10,50.0,0.23999999999999994,0.5,0.5,0.5,0.19909906387329102,0.1762998104095459,0.1762998104095459,"[493, 460, 428, 366, 307, 292, 282, 264, 233, 104]","[260, 229, 424, 463, 278]",1
1.2,HierarchyAware,LenLog_1_1_10_5_10_500.csv,0,10.0,5,15,10,1,1,10,2,10,20.0,0.0,0.2,0.2,0.20000000000000004,0.19316387176513672,0.1762998104095459,0.1762998104095459,"[493, 460, 428, 366, 307, 292, 282, 264, 233, 104]","[97, 467]",1
1.3,HierarchyAware,LenLog_1_1_10_5_10_500.csv,0,10.0,5,20,15,1,1,10,4,10,40.0,0.5,0.4,0.4,0.4000000000000001,0.21304798126220703,0.1762998104095459,0.1762998104095459,"[493, 460, 428, 366, 307, 292, 282, 264, 233, 104]","[291, 271, 466, 276]",1
1.4,HierarchyAware,LenLog_1_1_10_5_10_500.csv,0,10.0,5,25,20,1,1,10,4,10,40.0,0.47916666666666663,0.4,0.4,0.4000000000000001,0.20437145233154297,0.1762998104095459,0.1762998104095459,"[493, 460, 428, 366, 307, 292, 282, 264, 233, 104]","[287, 274, 462, 274]",1
1.5,HierarchyAware,LenLog_1_1_10_5_10_500.csv,0,10.0,5,30,25,1,1,10,7,10,70.0,0.4761904761904762,0.7,0.7,0.7,0.20781588554382324,0.1762998104095459,0.1762998104095459,"[493, 460, 428, 366, 307, 292, 282, 264, 233, 104]","[285, 269, 248, 114, 427, 456, 269]",1
2.0,HierarchyAware,LenLog_1_20_1_10_5_10_500.csv,20,10.0,5,5,0,1,1,10,0,10,0.0,0.0,0.0,0.0,0.0,0.20166683197021484,0.18822360038757324,0.18822360038757324,"[423, 402, 354, 326, 248, 180, 70, 44, 17, 10]",[],1
2.1,HierarchyAware,LenLog_1_20_1_10_5_10_500.csv,20,10.0,5,10,5,1,1,10,1,10,10.0,0.19999999999999996,0.1,0.1,0.10000000000000002,0.201033353805542,0.18822360038757324,0.18822360038757324,"[423, 402, 354, 326, 248, 180, 70, 44, 17, 10]",[330],1
2.2,HierarchyAware,LenLog_1_20_1_10_5_10_500.csv,20,10.0,5,15,10,1,1,10,0,10,0.0,0.0,0.0,0.0,0.0,0.2294623851776123,0.18822360038757324,0.18822360038757324,"[423, 402, 354, 326, 248, 180, 70, 44, 17, 10]",[],1
2.3,HierarchyAware,LenLog_1_20_1_10_5_10_500.csv,20,10.0,5,20,15,1,1,10,2,10,20.0,0.4,0.2,0.2,0.20000000000000004,0.21626543998718262,0.18822360038757324,0.18822360038757324,"[423, 402, 354, 326, 248, 180, 70, 44, 17, 10]","[430, 253]",1
2.4,HierarchyAware,LenLog_1_20_1_10_5_10_500.csv,20,10.0,5,25,20,1,1,10,4,10,40.0,0.16666666666666666,0.4,0.4,0.4000000000000001,0.23901844024658203,0.18822360038757324,0.18822360038757324,"[423, 402, 354, 326, 248, 180, 70, 44, 17, 10]","[342, 428, 32, 191]",1
2.5,HierarchyAware,LenLog_1_20_1_10_5_10_500.csv,20,10.0,5,30,25,1,1,10,4,10,40.0,0.55,0.4,0.4,0.4000000000000001,0.21772289276123047,0.18822360038757324,0.18822360038757324,"[423, 402, 354, 326, 248, 180, 70, 44, 17, 10]","[365, 428, 407, 186]",1
3.0,HierarchyAware,LenLog_1_10_1_15_5_10_750.csv,10,10.0,5,5,0,1,1,15,13,20,86.66666666666667,1.0,0.65,0.8666666666666667,0.7428571428571429,0.3196828365325928,0.26775336265563965,0.26775336265563965,"[687, 675, 666, 647, 635, 623, 575, 560, 406, 358, 345, 244, 138, 76, 57]","[675, 358, 647, 76, 687, 623, 560, 406, 345, 666, 635, 57, 575]",2
