Session;App;Type;Title;Begin;End
1;WindowsTerminal.exe;AppTrackItem;Anaconda Prompt (anaconda3) - python  main.py;2024-06-05 08:22:21;2024-06-05 08:22:36
1;Tockler;AppTrackItem;Tockler;2024-06-05 08:22:36;2024-06-05 08:22:39
1;WindowsTerminal.exe;AppTrackItem;Anaconda Prompt (anaconda3) - python  main.py;2024-06-05 08:22:39;2024-06-05 08:22:42
1;Windows Explorer;AppTrackItem;Ausarbeitung;2024-06-05 08:22:42;2024-06-05 08:22:48
1;Windows Explorer;AppTrackItem;TSMD in UI Logs;2024-06-05 08:22:48;2024-06-05 08:22:51
1;Windows Explorer;AppTrackItem;NO_TITLE;2024-06-05 08:22:51;2024-06-05 08:22:54
1;Microsoft Edge;AppTrackItem;New Tab and 1 more page - Personal - Microsoft? Edge;2024-06-05 08:22:54;2024-06-05 08:22:57
1;Microsoft Edge;AppTrackItem;Your Projects ﾖ Overleaf  Online LaTeX Editor and 1 more page - Personal - Microsoft? Edge;2024-06-05 08:22:57;2024-06-05 08:23:03
1;Windows Explorer;AppTrackItem;TSMD in UI Logs;2024-06-05 08:23:03;2024-06-05 08:23:09
1;Microsoft OneDrive;AppTrackItem;Share 3 items;2024-06-05 08:23:09;2024-06-05 08:23:36
1;Windows Explorer;AppTrackItem;TSMD in UI Logs;2024-06-05 08:23:36;2024-06-05 08:23:39
1;Microsoft Excel;AppTrackItem;Book1 - Excel;2024-06-05 08:23:39;2024-06-05 08:23:42
1;Microsoft Edge;AppTrackItem;Your Projects - Overleaf;2024-06-05 08:23:42;2024-06-05 08:23:45
1;Microsoft Edge;AppTrackItem;Untitled and 2 more pages - Personal - Microsoft? Edge;2024-06-05 08:23:45;2024-06-05 08:23:48
1;Microsoft Edge;AppTrackItem;New Tab and 2 more pages - Personal - Microsoft? Edge;2024-06-05 08:23:48;2024-06-05 08:23:51
1;Microsoft Edge;AppTrackItem;EasyChair Home Page and 2 more pages - Personal - Microsoft? Edge;2024-06-05 08:23:51;2024-06-05 08:23:54
1;Microsoft Edge;AppTrackItem;NO_TITLE;2024-06-05 08:23:54;2024-06-05 08:24:03
1;Microsoft Edge;AppTrackItem;EasyChair Home Page and 2 more pages - Personal - Microsoft? Edge;2024-06-05 08:24:03;2024-06-05 08:24:06
