case:concept:name,case:creator,lifecycle:transition,time:timestamp,org:resource,category,application,concept:name,event_relevance,event_src_path,event_dest_path,clipboard_content,mouse_coord,workbook,current_worksheet,worksheets,sheets,cell_content,cell_range,cell_range_number,window_size,slides,effect,hotkey,id,title,description,browser_url,eventQual,tab_moved_from_index,tab_moved_to_index,newZoomFactor,oldZoomFactor,tab_pinned,tab_audible,tab_muted,window_ingognito,file_size,tag_category,tag_type,tag_name,tag_title,tag_value,tag_checked,tag_html,tag_href,tag_innerText,tag_option,tag_attributes,xpath,xpath_full,screenshot
0309093506288000,SmartRPA by marco2012,complete,2024-03-09T09:35:06.288,tomho,Browser,Edge,newTab,,,,,,,,,,,,,,,,,38,,,edge://newtab/,,,,,,,,,,,,,,,,,,,,,,,,
0309093506288000,SmartRPA by marco2012,complete,2024-03-09T09:35:06.305,tomho,Browser,Edge,selectTab,,,,,,,,,,,,,,,,,38,,,edge://newtab/,,,,,,,,,,,,,,,,,,,,,,,,
0309093506288000,SmartRPA by marco2012,complete,2024-03-09T09:35:11.941,tomho,Browser,Edge,generated,,,,,,,,,,,,,,,,,,,,https://www.ecosia.org/search?q=sparkasse+demo+banking&addon=edge&addonversion=5.1.4&method=topbar,"[""fromAddressBar""]",,,,,,,,,,,,,,,,,,,,,,,
0309093506288000,SmartRPA by marco2012,complete,2024-03-09T09:35:13.859,tomho,Browser,Edge,clickLink,,,,,"473,420",,,,,,,,,,,,,,,https://www.ecosia.org/search?q=sparkasse%20demo%20banking&addon=edge&addonversion=5.1.4&method=topbar,,,,,,,,,,,A,,,,,,"<h2 data-test-id=""result-title"" class=""result-titl",https://www.sparkasse-karlsruhe.de/de/home/login-online-banking/demo-online-banking-chiptan.html,Demo Online-Banking chipTAN - Sparkasse Karlsruhe,,"{'data-test-id': 'result-link', 'href': 'https://www.sparkasse-karlsruhe.de/de/home/login-online-banking/demo-online-banking-chiptan.html', 'target': '_self', 'rel': 'noopener', 'class': 'result__link result__link link link--as-a link--color-result', 'data-v-64f31858': '', 'data-v-35c3f43c': '', 'parentNodeTitle': ''}","id(""main"")/div[1]/section[1]/div[2]/div[2]/article[1]/div[2]/div[1]/div[2]/a[1]",/HTML[1]/BODY[1]/DIV[1]/DIV[1]/DIV[1]/MAIN[1]/DIV[1]/SECTION[1]/DIV[2]/DIV[2]/ARTICLE[1]/DIV[2]/DIV[1]/DIV[2]/A[1],
0309093506288000,SmartRPA by marco2012,complete,2024-03-09T09:35:14.276,tomho,Browser,Edge,link,,,,,,,,,,,,,,,,,,,,https://www.sparkasse-karlsruhe.de/de/home/login-online-banking/demo-online-banking-chiptan.html,[],,,,,,,,,,,,,,,,,,,,,,,
0309093506288000,SmartRPA by marco2012,complete,2024-03-09T09:35:16.253,tomho,Browser,Edge,clickLink,,,,,"1001,738",,,,,,,,,,,,,,,https://www.sparkasse-karlsruhe.de/de/home/login-online-banking/demo-online-banking-chiptan.html,,,,,,,,,,,A,,,Ablehnen,,,Ablehnen,https://www.sparkasse-karlsruhe.de/de/home/login-online-banking/demo-online-banking-chiptan.html#,Ablehnen,,"{'href': '#', 'data-form': '.eprivacy_optin_decline', 'class': 'secondary', 'title': 'Ablehnen', 'parentNodeTitle': ''}",/html[1]/body[1]/div[1]/div[11]/div[1]/div[1]/div[1]/div[2]/a[2],/HTML[1]/BODY[1]/DIV[1]/DIV[11]/DIV[1]/DIV[1]/DIV[1]/DIV[2]/A[2],
0309093506288000,SmartRPA by marco2012,complete,2024-03-09T09:35:19.562,tomho,Browser,Edge,changeField,,,,,,,,,,,,,,,,,dlfehfmYgVcZxiqs,,,https://www.sparkasse-karlsruhe.de/de/home/login-online-banking/demo-online-banking-chiptan.html,,,,,,,,,,,INPUT,text,dlfehfmYgVcZxiqs,,chipDemo,,,,,,"{'type': 'text', 'name': 'dlfehfmYgVcZxiqs', 'id': 'dlfehfmYgVcZxiqs', 'tabindex': '0', 'required': '', 'class': 'nbf-text-input', 'maxlength': '16', 'autocomplete': 'username', 'placeholder': ' '}","id(""dlfehfmYgVcZxiqs"")",/HTML[1]/BODY[1]/DIV[1]/SECTION[1]/DIV[1]/DIV[1]/DIV[4]/FORM[1]/DIV[8]/INPUT[1],
0309093506288000,SmartRPA by marco2012,complete,2024-03-09T09:35:22.269,tomho,Browser,Edge,changeField,,,,,,,,,,,,,,,,,JrNhoQpYuBaqMRoS,,,https://www.sparkasse-karlsruhe.de/de/home/login-online-banking/demo-online-banking-chiptan.html,,,,,,,,,,,INPUT,password,JrNhoQpYuBaqMRoS,,12345,,,,,,"{'type': 'password', 'name': 'JrNhoQpYuBaqMRoS', 'id': 'JrNhoQpYuBaqMRoS', 'tabindex': '0', 'required': '', 'class': 'has-inline-icon nbf-text-input format-password-show', 'maxlength': '38', 'autocomplete': 'off', 'placeholder': ' '}","id(""JrNhoQpYuBaqMRoS"")",/HTML[1]/BODY[1]/DIV[1]/SECTION[1]/DIV[1]/DIV[1]/DIV[4]/FORM[1]/DIV[9]/INPUT[1],
0309093506288000,SmartRPA by marco2012,complete,2024-03-09T09:35:27.129,tomho,Browser,Edge,clickTextField,,,,,"891,708",,,,,,,,,,,,dlfehfmYgVcZxiqs,,,https://www.sparkasse-karlsruhe.de/de/home/login-online-banking/demo-online-banking-chiptan.html,,,,,,,,,,,INPUT,text,dlfehfmYgVcZxiqs,,chipDemo,,,,,,"{'type': 'text', 'name': 'dlfehfmYgVcZxiqs', 'id': 'dlfehfmYgVcZxiqs', 'tabindex': '0', 'required': '', 'value': 'chipDemo', 'class': 'nbf-text-input error', 'maxlength': '16', 'autocomplete': 'username', 'aria-invalid': 'true', 'aria-describedby': 'dlfehfmYgVcZxiqs_err', 'placeholder': ' ', 'parentNodeTitle': ''}","id(""dlfehfmYgVcZxiqs"")",/HTML[1]/BODY[1]/DIV[1]/SECTION[1]/DIV[1]/DIV[1]/DIV[4]/FORM[1]/DIV[8]/INPUT[1],
0309093506288000,SmartRPA by marco2012,complete,2024-03-09T09:35:29.125,tomho,Browser,Edge,changeField,,,,,,,,,,,,,,,,,dlfehfmYgVcZxiqs,,,https://www.sparkasse-karlsruhe.de/de/home/login-online-banking/demo-online-banking-chiptan.html,,,,,,,,,,,INPUT,text,dlfehfmYgVcZxiqs,,chipDEMO,,,,,,"{'type': 'text', 'name': 'dlfehfmYgVcZxiqs', 'id': 'dlfehfmYgVcZxiqs', 'tabindex': '0', 'required': '', 'value': 'chipDemo', 'class': 'nbf-text-input error', 'maxlength': '16', 'autocomplete': 'username', 'aria-invalid': 'true', 'aria-describedby': 'dlfehfmYgVcZxiqs_err', 'placeholder': ' '}","id(""dlfehfmYgVcZxiqs"")",/HTML[1]/BODY[1]/DIV[1]/SECTION[1]/DIV[1]/DIV[1]/DIV[4]/FORM[1]/DIV[8]/INPUT[1],
0309093506288000,SmartRPA by marco2012,complete,2024-03-09T09:35:30.776,tomho,Browser,Edge,changeField,,,,,,,,,,,,,,,,,JrNhoQpYuBaqMRoS,,,https://www.sparkasse-karlsruhe.de/de/home/login-online-banking/demo-online-banking-chiptan.html,,,,,,,,,,,INPUT,password,JrNhoQpYuBaqMRoS,,12345,,,,,,"{'type': 'password', 'name': 'JrNhoQpYuBaqMRoS', 'id': 'JrNhoQpYuBaqMRoS', 'tabindex': '0', 'required': '', 'class': 'has-inline-icon nbf-text-input format-password-show error', 'maxlength': '38', 'autocomplete': 'off', 'aria-invalid': 'true', 'aria-describedby': 'JrNhoQpYuBaqMRoS_err', 'placeholder': ' '}","id(""JrNhoQpYuBaqMRoS"")",/HTML[1]/BODY[1]/DIV[1]/SECTION[1]/DIV[1]/DIV[1]/DIV[4]/FORM[1]/DIV[9]/INPUT[1],
0309093506288000,SmartRPA by marco2012,complete,2024-03-09T09:35:31.548,tomho,Browser,Edge,link,,,,,,,,,,,,,,,,,,,,https://www.sparkasse-karlsruhe.de/de/home/onlinebanking/nbf/finanzuebersicht.html?n=true,"[""serverRedirect""]",,,,,,,,,,,,,,,,,,,,,,,
0309093506288000,SmartRPA by marco2012,complete,2024-03-09T09:35:33.407,tomho,Browser,Edge,newTab,,,,,,,,,,,,,,,,,39,,,edge://newtab/,,,,,,,,,,,,,,,,,,,,,,,,
0309093506288000,SmartRPA by marco2012,complete,2024-03-09T09:35:33.423,tomho,Browser,Edge,selectTab,,,,,,,,,,,,,,,,,39,,,edge://newtab/,,,,,,,,,,,,,,,,,,,,,,,,
0309093506288000,SmartRPA by marco2012,complete,2024-03-09T09:35:37.872,tomho,Browser,Edge,generated,,,,,,,,,,,,,,,,,,,,https://www.ecosia.org/search?q=beispiel+ibans&addon=edge&addonversion=5.1.4&method=topbar,"[""fromAddressBar""]",,,,,,,,,,,,,,,,,,,,,,,
0309093506288000,SmartRPA by marco2012,complete,2024-03-09T09:35:39.420,tomho,Browser,Edge,clickLink,,,,,"492,247",,,,,,,,,,,,,,,https://www.ecosia.org/search?q=beispiel%20ibans&addon=edge&addonversion=5.1.4&method=topbar,,,,,,,,,,,A,,,,,,"<h2 data-test-id=""result-title"" class=""result-titl",https://ibanvalidieren.de/beispiele.html,IBAN-Beispiele - IBAN Validieren,,"{'data-test-id': 'result-link', 'href': 'https://ibanvalidieren.de/beispiele.html', 'target': '_self', 'rel': 'noopener', 'class': 'result__link result__link link link--as-a link--color-result', 'data-v-64f31858': '', 'data-v-35c3f43c': '', 'parentNodeTitle': ''}","id(""main"")/div[1]/section[1]/div[2]/div[2]/article[1]/div[2]/div[1]/div[2]/a[1]",/HTML[1]/BODY[1]/DIV[1]/DIV[1]/DIV[1]/MAIN[1]/DIV[1]/SECTION[1]/DIV[2]/DIV[2]/ARTICLE[1]/DIV[2]/DIV[1]/DIV[2]/A[1],
0309093506288000,SmartRPA by marco2012,complete,2024-03-09T09:35:39.648,tomho,Browser,Edge,link,,,,,,,,,,,,,,,,,,,,https://ibanvalidieren.de/beispiele.html,[],,,,,,,,,,,,,,,,,,,,,,,
0309093506288000,SmartRPA by marco2012,complete,2024-03-09T09:35:41.437,tomho,Browser,Edge,mouseClick,,,,,"852,446",,,,,,,,,,,,,,,https://ibanvalidieren.de/beispiele.html,,,,,,,,,,,TD,,,,,,DE02120300000000202051,,DE02120300000000202051,,{'parentNodeTitle': ''},"id(""wrap"")/div[2]/div[1]/div[2]/div[1]/table[1]/tbody[1]/tr[1]/td[1]",/HTML[1]/BODY[1]/DIV[1]/DIV[2]/DIV[1]/DIV[2]/DIV[1]/TABLE[1]/TBODY[1]/TR[1]/TD[1],
0309093506288000,SmartRPA by marco2012,complete,2024-03-09T09:35:41.586,tomho,Browser,Edge,selectText,,,,,"852,446",,,,,,,,,,,,,,,https://ibanvalidieren.de/beispiele.html,,,,,,,,,,,,,,,DE02120300000000202051,,,,,,,"id(""wrap"")/div[2]/div[1]/div[2]/div[1]/table[1]/tbody[1]/tr[1]/td[1]",/HTML[1]/BODY[1]/DIV[1]/DIV[2]/DIV[1]/DIV[2]/DIV[1]/TABLE[1]/TBODY[1]/TR[1]/TD[1],
0309093506288000,SmartRPA by marco2012,complete,2024-03-09T09:35:41.587,tomho,Browser,Edge,mouseClick,,,,,"852,446",,,,,,,,,,,,,,,https://ibanvalidieren.de/beispiele.html,,,,,,,,,,,TD,,,,,,DE02120300000000202051,,DE02120300000000202051,,{'parentNodeTitle': ''},"id(""wrap"")/div[2]/div[1]/div[2]/div[1]/table[1]/tbody[1]/tr[1]/td[1]",/HTML[1]/BODY[1]/DIV[1]/DIV[2]/DIV[1]/DIV[2]/DIV[1]/TABLE[1]/TBODY[1]/TR[1]/TD[1],
0309093506288000,SmartRPA by marco2012,complete,2024-03-09T09:35:41.589,tomho,Browser,Edge,doubleClick,,,,,,,,,,,,,,,,,,,,https://ibanvalidieren.de/beispiele.html,,,,,,,,,,,,,,,,,,,,,,"id(""wrap"")/div[2]/div[1]/div[2]/div[1]/table[1]/tbody[1]/tr[1]/td[1]",/HTML[1]/BODY[1]/DIV[1]/DIV[2]/DIV[1]/DIV[2]/DIV[1]/TABLE[1]/TBODY[1]/TR[1]/TD[1],
0309093506288000,SmartRPA by marco2012,complete,2024-03-09T09:35:42.337,tomho,Clipboard,Clipboard,copy,,,,DE02120300000000202051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0309093506288000,SmartRPA by marco2012,complete,2024-03-09T09:35:42.869,tomho,Browser,Edge,selectTab,,,,,,,,,,,,,,,,,38,Finanzübersicht,,https://www.sparkasse-karlsruhe.de/de/home/onlinebanking/nbf/finanzuebersicht.html?n=true,,,,,,,,,,,,,,,,,,,,,,,,
0309093506288000,SmartRPA by marco2012,complete,2024-03-09T09:35:44.945,tomho,Browser,Edge,link,,,,,,,,,,,,,,,,,,,,https://www.sparkasse-karlsruhe.de/de/home/onlinebanking/nbf/banking/einzelauftrag.html?sp:ct=TUFJTkBwb3J0YWw%3D,"[""serverRedirect""]",,,,,,,,,,,,,,,,,,,,,,,
0309093506288000,SmartRPA by marco2012,complete,2024-03-09T09:35:46.868,tomho,Browser,Edge,mouseClick,,,,,"923,423",,,,,,,,,,,,,,,https://www.sparkasse-karlsruhe.de/de/home/onlinebanking/nbf/banking/einzelauftrag.html?sp:ct=TUFJTkBwb3J0YWw%3D,,,,,,,,,,,LABEL,,,,,,Empfänger oder IBAN eingeben,,Empfänger oder IBAN eingeben,,"{'for': 'KefnwWuczlDjbpUV', 'data-selector': 'labelSearch', 'parentNodeTitle': ''}","id(""idLineBeguenstigerNameOderIban"")/label[1]",/HTML[1]/BODY[1]/DIV[2]/SECTION[1]/DIV[1]/DIV[1]/DIV[1]/FORM[1]/DIV[3]/DIV[1]/LABEL[1],
