caseid;start_index;length;motif
1;0;28;SR
2;78;61;RT
3;189;33;SR
4;272;60;RT
5;382;31;SR
6;463;60;RT
7;573;33;SR
8;656;60;RT
9;766;33;SR
10;849;60;RT
11;959;33;SR
12;1042;60;RT
13;1152;31;SR
14;1233;61;RT
15;1344;92;RT
16;1486;4;SR
17;1540;30;SR
18;1620;60;RT
19;1730;33;SR
20;1813;60;RT
21;1923;33;SR
22;2006;60;RT
23;2116;31;SR
24;2197;60;RT
25;2307;33;SR
26;2390;60;RT
27;2500;33;SR
28;2583;60;RT
29;2693;34;SR
30;2777;60;RT
31;2887;33;SR
32;2970;63;RT
33;3083;31;SR
34;3164;60;RT
35;3274;93;RT
36;3417;4;SR
37;3471;87;RT
38;3608;6;SR
39;3664;28;SR
40;3742;60;RT
41;3852;33;SR
42;3935;60;RT
43;4045;34;SR
44;4129;60;RT
45;4239;33;SR
46;4322;60;RT
47;4432;33;SR
48;4515;60;RT
49;4625;31;SR
50;4706;60;RT
51;4816;31;SR
52;4897;60;RT
53;5007;33;SR
54;5090;60;RT
55;5200;33;SR
56;5283;60;RT
57;5393;33;SR
58;5476;60;RT
59;5586;33;SR
60;5669;62;RT
61;5781;34;SR
62;5865;60;RT
63;5975;33;SR
64;6058;60;RT
65;6168;33;SR
66;6251;60;RT
67;6361;33;SR
68;6444;60;RT
69;6554;33;SR
70;6637;60;RT
71;6747;34;SR
72;6831;60;RT
73;6941;33;SR
74;7024;60;RT
75;7134;33;SR
76;7217;60;RT
77;7327;33;SR
78;7410;60;RT
79;7520;33;SR
80;7603;60;RT
81;7713;33;SR
82;7796;60;RT
83;7906;33;SR
84;7989;61;RT
85;8100;33;SR
86;8183;60;RT
87;8293;33;SR
88;8376;60;RT
89;8486;33;SR
90;8569;60;RT
91;8679;33;SR
92;8762;61;RT
93;8873;33;SR
94;8956;60;RT
95;9066;33;SR
96;9149;60;RT
97;9259;33;SR
98;9342;60;RT
99;9452;33;SR
100;9535;60;RT
