sequentialID;userID;epoch;idUIelement;machine
0;48cgGuhQ;1557921970770;btn1additive;e11p3
1;48cgGuhQ;1557921972836;btn3decreaseadditive;e11p3
2;48cgGuhQ;1557921974902;btn3decreaseadditive;e11p3
3;48cgGuhQ;1557921976968;btn3decreaseadditive;e11p3
4;48cgGuhQ;1557921979034;btn3ok;e11p3
5;48cgGuhQ;1557921981100;btn1drink;e11p3
6;48cgGuhQ;1557921983166;btn5mixture1;e11p3
7;48cgGuhQ;1557921985232;btn5ok;e11p3
8;48cgGuhQ;1557921987300;btn1ok;e11p3
9;xxBEtJE;1557921992354;btn1additive;e11p3
10;xxBEtJE;1557921993366;btn3decreaseadditive;e11p3
11;xxBEtJE;1557921994378;btn3decreaseadditive;e11p3
12;xxBEtJE;1557921995390;btn3decreaseadditive;e11p3
13;xxBEtJE;1557921996402;btn3ok;e11p3
14;xxBEtJE;1557921997414;btn1drink;e11p3
15;xxBEtJE;1557921998426;btn5mixture1;e11p3
16;xxBEtJE;1557921999438;btn5ok;e11p3
17;xxBEtJE;1557922000451;btn1ok;e11p3
18;8gz32fIA;1557922622142;btn1additive;e11p3
19;8gz32fIA;1557922627308;btn3decreaseadditive;e11p3
20;8gz32fIA;1557922632474;btn3decreaseadditive;e11p3
21;8gz32fIA;1557922637640;btn3decreaseadditive;e11p3
22;8gz32fIA;1557922642806;btn3ok;e11p3
23;8gz32fIA;1557922647972;btn1drink;e11p3
24;8gz32fIA;1557922653138;btn5mixture2;e11p3
25;8gz32fIA;1557922658304;btn5ok;e11p3
26;8gz32fIA;1557922663474;btn1ok;e11p3
27;2cvOv2v;1557928954537;btn1additive;e11p3
28;2cvOv2v;1557928959561;btn3decreaseadditive;e11p3
29;2cvOv2v;1557928964585;btn3decreaseadditive;e11p3
30;2cvOv2v;1557928969609;btn3decreaseadditive;e11p3
31;2cvOv2v;1557928974633;btn3ok;e11p3
32;2cvOv2v;1557928979657;btn1drink;e11p3
33;2cvOv2v;1557928984681;btn5mixture3;e11p3
34;2cvOv2v;1557928989705;btn5ok;e11p3
35;2cvOv2v;1557928994736;btn1ok;e11p3
36;6xOA6kOo3;1557929585777;btn1container;e11p3
37;6xOA6kOo3;1557929589788;btn2ok;e11p3
38;6xOA6kOo3;1557929593799;btn1additive;e11p3
39;6xOA6kOo3;1557929597810;btn3decreaseadditive;e11p3
40;6xOA6kOo3;1557929601821;btn3decreaseadditive;e11p3
41;6xOA6kOo3;1557929605832;btn3ok;e11p3
42;6xOA6kOo3;1557929609843;btn1drink;e11p3
43;6xOA6kOo3;1557929613854;btn5mixture3;e11p3
44;6xOA6kOo3;1557929617865;btn5ok;e11p3
45;6xOA6kOo3;1557929621877;btn1ok;e11p3
46;wJxNbIJxNN;1557930123605;btn1additive;e11p3
47;wJxNbIJxNN;1557930130123;btn3decreaseadditive;e11p3
48;wJxNbIJxNN;1557930136641;btn3decreaseadditive;e11p3
49;wJxNbIJxNN;1557930143159;btn3ok;e11p3
50;wJxNbIJxNN;1557930149680;btn1ok;e11p3
51;8gz32fIA;1557930893916;btn1additive;e11p3
52;8gz32fIA;1557930896202;btn3decreaseadditive;e11p3
53;8gz32fIA;1557930898488;btn3decreaseadditive;e11p3
54;8gz32fIA;1557930900774;btn3decreaseadditive;e11p3
55;8gz32fIA;1557930903060;btn3ok;e11p3
56;8gz32fIA;1557930905346;btn1drink;e11p3
57;8gz32fIA;1557930907632;btn5mixture2;e11p3
58;8gz32fIA;1557930909918;btn5ok;e11p3
59;8gz32fIA;1557930912206;btn1ok;e11p3
60;6FGQfFaap;1557932620438;btn1additive;e11p3
61;6FGQfFaap;1557932626749;btn3decreaseadditive;e11p3
62;6FGQfFaap;1557932633060;btn3decreaseadditive;e11p3
63;6FGQfFaap;1557932639371;btn3ok;e11p3
64;6FGQfFaap;1557932645682;btn1drink;e11p3
65;6FGQfFaap;1557932651993;btn5mixture3;e11p3
66;6FGQfFaap;1557932658304;btn5ok;e11p3
67;6FGQfFaap;1557932664619;btn1ok;e11p3
68;6xOA6kOo3;1557941866476;btn1container;e11p3
69;6xOA6kOo3;1557941869062;btn2ok;e11p3
70;6xOA6kOo3;1557941871648;btn1additive;e11p3
71;6xOA6kOo3;1557941874234;btn3decreaseadditive;e11p3
72;6xOA6kOo3;1557941876820;btn3decreaseadditive;e11p3
73;6xOA6kOo3;1557941879406;btn3decreaseadditive;e11p3
74;6xOA6kOo3;1557941881992;btn3ok;e11p3
75;6xOA6kOo3;1557941884578;btn1drink;e11p3
76;6xOA6kOo3;1557941887164;btn5mixture3;e11p3
77;6xOA6kOo3;1557941889750;btn5ok;e11p3
78;6xOA6kOo3;1557941892344;btn1ok;e11p3
79;4PBj1BPw;1557986454593;btn1additive;e11p3
80;4PBj1BPw;1557986457219;btn3ok;e11p3
81;4PBj1BPw;1557986459845;btn1drink;e11p3
82;4PBj1BPw;1557986462471;btn5mixture4;e11p3
83;4PBj1BPw;1557986465097;btn5ok;e11p3
84;4PBj1BPw;1557986467726;btn1ok;e11p3
85;48cgGuhQ;1557988276919;btn1container;e11p3
86;48cgGuhQ;1557988279423;btn2container;e11p3
87;48cgGuhQ;1557988281927;btn2ok;e11p3
88;48cgGuhQ;1557988284431;btn1additive;e11p3
89;48cgGuhQ;1557988286935;btn3decreaseadditive;e11p3
90;48cgGuhQ;1557988289439;btn3decreaseadditive;e11p3
91;48cgGuhQ;1557988291943;btn3decreaseadditive;e11p3
92;48cgGuhQ;1557988294447;btn3ok;e11p3
93;48cgGuhQ;1557988296951;btn1drink;e11p3
94;48cgGuhQ;1557988299455;btn5mixture5;e11p3
95;48cgGuhQ;1557988301959;btn5ok;e11p3
96;48cgGuhQ;1557988304463;btn1ok;e11p3
97;etkcoMvHM;1557988450945;btn1drink;e11p3
98;etkcoMvHM;1557988466332;btn5mixture6;e11p3
99;etkcoMvHM;1557988481719;btn5ok;e11p3
100;etkcoMvHM;1557988497106;btn1ok;e11p3
