id,user,shift,initepoch,endepoch,initdayofweek,enddayofweek,isWorkingDay,timeOnTask,numsteps,mixture,additive,container,initialAdditive,machine,anomaly,interactionwu_prep,interactionwu_prep_json
0,48cgGuhQ,t2,1557921970770,1557921987300,2,2,1,16530,11,mixture1,0,no,3,e11p3,0,"['btn1additive', 'btn3decreaseadditive', 'btn3decreaseadditive', 'btn3decreaseadditive', 'btn3ok', 'btn1drink', 'btn5mixture1', 'btn5ok', 'btn1ok']","{0: 'btn1additive', 1: 'btn3decreaseadditive', 2: 'btn3decreaseadditive', 3: 'btn3decreaseadditive', 4: 'btn3ok', 5: 'btn1drink', 6: 'btn5mixture1', 7: 'btn5ok', 8: 'btn1ok'}"
1,xxBEtJE,t2,1557921992354,1557922000451,2,2,1,8097,10,mixture1,0,no,3,e11p3,0,"['btn1additive', 'btn3decreaseadditive', 'btn3decreaseadditive', 'btn3decreaseadditive', 'btn3ok', 'btn1drink', 'btn5mixture1', 'btn5ok', 'btn1ok']","{9: 'btn1additive', 10: 'btn3decreaseadditive', 11: 'btn3decreaseadditive', 12: 'btn3decreaseadditive', 13: 'btn3ok', 14: 'btn1drink', 15: 'btn5mixture1', 16: 'btn5ok', 17: 'btn1ok'}"
2,8gz32fIA,t2,1557922622142,1557922663474,2,2,1,41332,10,mixture2,0,no,3,e11p3,0,"['btn1additive', 'btn3decreaseadditive', 'btn3decreaseadditive', 'btn3decreaseadditive', 'btn3ok', 'btn1drink', 'btn5mixture2', 'btn5ok', 'btn1ok']","{18: 'btn1additive', 19: 'btn3decreaseadditive', 20: 'btn3decreaseadditive', 21: 'btn3decreaseadditive', 22: 'btn3ok', 23: 'btn1drink', 24: 'btn5mixture2', 25: 'btn5ok', 26: 'btn1ok'}"
3,2cvOv2v,t2,1557928954537,1557928994736,2,2,1,40199,11,mixture3,0,no,3,e11p3,0,"['btn1additive', 'btn3decreaseadditive', 'btn3decreaseadditive', 'btn3decreaseadditive', 'btn3ok', 'btn1drink', 'btn5mixture3', 'btn5ok', 'btn1ok']","{27: 'btn1additive', 28: 'btn3decreaseadditive', 29: 'btn3decreaseadditive', 30: 'btn3decreaseadditive', 31: 'btn3ok', 32: 'btn1drink', 33: 'btn5mixture3', 34: 'btn5ok', 35: 'btn1ok'}"
4,6xOA6kOo3,t2,1557929585777,1557929621877,2,2,1,36100,11,mixture3,1,no,3,e11p3,0,"['btn1container', 'btn2ok', 'btn1additive', 'btn3decreaseadditive', 'btn3decreaseadditive', 'btn3ok', 'btn1drink', 'btn5mixture3', 'btn5ok', 'btn1ok']","{36: 'btn1container', 37: 'btn2ok', 38: 'btn1additive', 39: 'btn3decreaseadditive', 40: 'btn3decreaseadditive', 41: 'btn3ok', 42: 'btn1drink', 43: 'btn5mixture3', 44: 'btn5ok', 45: 'btn1ok'}"
5,wJxNbIJxNN,t2,1557930123605,1557930149680,2,2,1,26075,7,mixture2,1,no,3,e11p3,0,"['btn1additive', 'btn3decreaseadditive', 'btn3decreaseadditive', 'btn3ok', 'btn1ok']","{46: 'btn1additive', 47: 'btn3decreaseadditive', 48: 'btn3decreaseadditive', 49: 'btn3ok', 50: 'btn1ok'}"
6,8gz32fIA,t2,1557930893916,1557930912206,2,2,1,18290,10,mixture2,0,no,3,e11p3,0,"['btn1additive', 'btn3decreaseadditive', 'btn3decreaseadditive', 'btn3decreaseadditive', 'btn3ok', 'btn1drink', 'btn5mixture2', 'btn5ok', 'btn1ok']","{51: 'btn1additive', 52: 'btn3decreaseadditive', 53: 'btn3decreaseadditive', 54: 'btn3decreaseadditive', 55: 'btn3ok', 56: 'btn1drink', 57: 'btn5mixture2', 58: 'btn5ok', 59: 'btn1ok'}"
7,6FGQfFaap,t2,1557932620438,1557932664619,2,2,1,44181,9,mixture3,1,no,3,e11p3,0,"['btn1additive', 'btn3decreaseadditive', 'btn3decreaseadditive', 'btn3ok', 'btn1drink', 'btn5mixture3', 'btn5ok', 'btn1ok']","{60: 'btn1additive', 61: 'btn3decreaseadditive', 62: 'btn3decreaseadditive', 63: 'btn3ok', 64: 'btn1drink', 65: 'btn5mixture3', 66: 'btn5ok', 67: 'btn1ok'}"
8,6xOA6kOo3,t2,1557941866476,1557941892344,2,2,1,25868,12,mixture3,0,no,3,e11p3,0,"['btn1container', 'btn2ok', 'btn1additive', 'btn3decreaseadditive', 'btn3decreaseadditive', 'btn3decreaseadditive', 'btn3ok', 'btn1drink', 'btn5mixture3', 'btn5ok', 'btn1ok']","{68: 'btn1container', 69: 'btn2ok', 70: 'btn1additive', 71: 'btn3decreaseadditive', 72: 'btn3decreaseadditive', 73: 'btn3decreaseadditive', 74: 'btn3ok', 75: 'btn1drink', 76: 'btn5mixture3', 77: 'btn5ok', 78: 'btn1ok'}"
9,4PBj1BPw,t1,1557986454593,1557986467726,3,3,1,13133,8,mixture4,3,no,3,e11p3,0,"['btn1additive', 'btn3ok', 'btn1drink', 'btn5mixture4', 'btn5ok', 'btn1ok']","{79: 'btn1additive', 80: 'btn3ok', 81: 'btn1drink', 82: 'btn5mixture4', 83: 'btn5ok', 84: 'btn1ok'}"
