Unnamed: 0,case:concept:name,case:creator,lifecycle:transition,time:timestamp,org:resource,category,application,concept:name,event_src_path,event_dest_path,clipboard_content,mouse_coord,workbook,current_worksheet,worksheets,sheets,cell_content,cell_range,cell_range_number,window_size,slides,effect,hotkey,id,title,description,browser_url,eventQual,tab_moved_from_index,tab_moved_to_index,newZoomFactor,oldZoomFactor,tab_pinned,tab_audible,tab_muted,window_ingognito,file_size,tag_category,tag_type,tag_name,tag_title,tag_value,tag_checked,tag_html,tag_href,tag_innerText,tag_option,tag_attributes,xpath,xpath_full
959,723165240000000,SmartRPA by marco2012,complete,2020-07-23T16:57:41.000,frose,MicrosoftOffice,Microsoft PowerPoint,slideshowBegin,/stay/alone.flac,,,,,,,,,,,,"0, 1, 2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
348,814090918000000,SmartRPA by marco2012,complete,2020-08-14T09:22:12.000,tony90,OperatingSystem,Explorer,moved,/family/ok.doc,/two/any.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304,228000309000000,SmartRPA by marco2012,complete,2020-02-28T00:05:54.000,hpetersen,Browser,Chrome,submit,,,,,,,,,,,,,,,,input_text,,,http://cooper-hall.info/,"[""serverRedirect"",""fromAddressBar""]",,,,,,,,,,A,,store,,stuff,,,,,,,"id(""political/div[1]/url[0]"")","id(""political/div[1]/url[0]"")"
279,904164129000000,SmartRPA by marco2012,complete,2020-09-04T16:43:50.000,jenniferhays,Browser,Chrome,dragElement,,,,,,,,,,,,,,,,,,,http://www.werner.com/last,"[""serverRedirect"",""fromAddressBar""]",,,,,,,,,,,,interest,,political,,,,,,,"id(""cultural"")","id(""cultural"")"
953,723165240000000,SmartRPA by marco2012,complete,2020-07-23T16:54:40.000,frose,Browser,Chrome,newWindow,,,,,,,,,,,,,,,,,,,http://cooper-hall.info/,"[""serverRedirect""]",,,,,,,,,,,,structure,,,,,,,,,"id(""cultural"")","id(""cultural"")"
402,1029140616000000,SmartRPA by marco2012,complete,2020-10-29T14:08:27.000,alejandro59,Browser,Chrome,cancelDialog,,,,,,,,,,,,,,,,check_link,,,http://cooper-hall.info/,"[""serverRedirect"",""fromAddressBar""]",,,,,,,,,,A,,no,,store,,,,,,,"id(""political/div[1]/url[0]"")","id(""political/div[1]/url[0]"")"
725,813130255000000,SmartRPA by marco2012,complete,2020-08-13T13:02:56.000,joyceneil,Browser,Chrome,submit,,,,,,,,,,,,,,,,,,,http://berger.net/,"[""serverRedirect"",""fromAddressBar""]",,,,,,,,,,IMG,,within,,no,,,,,,,"id(""cup/section[1]"")","id(""cup/section[1]"")"
95,1025051701000000,SmartRPA by marco2012,complete,2020-10-25T05:28:51.000,bgray,OperatingSystem,Explorer,Unmount,/money/finally.mp4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444,601233356000000,SmartRPA by marco2012,complete,2020-06-01T23:42:05.000,osbornemichael,OperatingSystem,Explorer,moved,/forward/year.mov,/letter/network.mp3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
574,525133009000000,SmartRPA by marco2012,complete,2020-05-25T13:43:58.000,ericasimmons,OperatingSystem,Explorer,moved,/kind/imagine.avi,/forward/year.mov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1207,716215938000000,SmartRPA by marco2012,complete,2020-07-16T22:03:58.000,kelly31,MicrosoftOffice,Microsoft Word,openDocument,/event/cause.mov,,,,,,,,,,,,,,,,west,,,,,,,,,,,,,,,,,,,,,,,,,
159,831044746000000,SmartRPA by marco2012,complete,2020-08-31T04:52:53.000,brianmiller,MicrosoftOffice,Microsoft PowerPoint,SlideSelectionChanged,/soldier/because.doc,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
326,814090918000000,SmartRPA by marco2012,complete,2020-08-14T09:10:29.000,tony90,Browser,Chrome,newTab,,,,,,,,,,,,,,,,,,,http://berger.net/,"[""serverRedirect"",""fromAddressBar""]",,,,,,,,,,,,cultural,,west,,,,,,,"id(""cultural"")","id(""cultural"")"
878,509154651000000,SmartRPA by marco2012,complete,2020-05-09T15:48:02.000,pamelafields,Browser,Chrome,cancelDialog,,,,,,,,,,,,,,,,,,,http://mckinney.biz/,[],,,,,,,,,,DIV,,no,,False,,,,,,,"id(""political/div[1]/url[0]"")","id(""political/div[1]/url[0]"")"
504,210193318000000,SmartRPA by marco2012,complete,2020-02-10T19:36:10.000,maria90,Browser,Chrome,newWindow,,,,,,,,,,,,,,,,click_btn,,,https://www.thomas-simpson.com/,"[""fromAddressBar""]",,,,,,,,,,A,,appear,,long,,,,,,,"id(""political/div[1]/url[0]"")","id(""political/div[1]/url[0]"")"
284,904164129000000,SmartRPA by marco2012,complete,2020-09-04T16:45:45.000,jenniferhays,MicrosoftOffice,Microsoft Excel,sheetCalculate,,,,,Workbook3,Sheet12,['Sheet12'],,stuff,K15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
950,723165240000000,SmartRPA by marco2012,complete,2020-07-23T16:52:51.000,frose,Browser,Chrome,clickLink,,,,,,,,,,,,,,,,,,,http://www.martin.com/,[],,,,,,,,,,,,commercial,,news,,,,,,,"id(""political/div[1]/url[0]"")","id(""political/div[1]/url[0]"")"
299,904164129000000,SmartRPA by marco2012,complete,2020-09-04T16:53:15.000,jenniferhays,OperatingSystem,Explorer,Unmount,/possible/difficult.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
454,1026073239000000,SmartRPA by marco2012,complete,2020-10-26T07:35:11.000,kyle01,Browser,Chrome,submit,,,,,,,,,,,,,,,,,,,https://www.dudley.com/,"[""serverRedirect""]",,,,,,,,,,,,appear,,interest,,,,,,,"id(""cultural"")","id(""cultural"")"
281,904164129000000,SmartRPA by marco2012,complete,2020-09-04T16:44:28.000,jenniferhays,MicrosoftOffice,Microsoft PowerPoint,openPresentation,/design/bank.ods,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
344,814090918000000,SmartRPA by marco2012,complete,2020-08-14T09:20:03.000,tony90,OperatingSystem,Explorer,deleted,/whole/general.odt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
652,929050803000000,SmartRPA by marco2012,complete,2020-09-29T05:09:05.000,alexandramunoz,Browser,Chrome,clickCheckboxButton,,,,,,,,,,,,,,,,,,,http://mckinney.biz/carry,[],,,,,,,,,,A,,civil,,commercial,,,,,,,"id(""political/div[1]/url[0]"")","id(""political/div[1]/url[0]"")"
396,1028021021000000,SmartRPA by marco2012,complete,2020-10-28T02:20:10.000,caleb69,OperatingSystem,Explorer,Unmount,/structure/everyone.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
981,915004520000000,SmartRPA by marco2012,complete,2020-09-15T00:48:11.000,nicole36,MicrosoftOffice,Microsoft PowerPoint,newPresentationSlide,/money/finally.mp4,,,,,,,,,,,,"0, 1, 2, 3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,111113159000000,SmartRPA by marco2012,complete,2020-01-11T11:34:58.000,cookjacqueline,Browser,Chrome,removeBookmark,,,,,,,,,,,,,,,,,,,http://www.fisher.com/body,"[""serverRedirect"",""fromAddressBar""]",,,,,,,,,,A,,within,,amount,,,,,,,"id(""political/div[1]/url[0]"")","id(""political/div[1]/url[0]"")"
580,624221640000000,SmartRPA by marco2012,complete,2020-06-24T22:19:47.000,madisonbrown,MicrosoftOffice,Microsoft PowerPoint,openPresentation,/money/finally.mp4,,,,,,,,,,,,"0, 1, 2, 3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,1025051701000000,SmartRPA by marco2012,complete,2020-10-25T05:19:01.000,bgray,Browser,Chrome,newTab,,,,,,,,,,,,,,,,,,,https://www.smith-watkins.com/middle,[],,,,,,,,,,BUTTON,submit,no,,True,,,,,,,"id(""political/div[1]/url[0]"")","id(""political/div[1]/url[0]"")"
699,1104165910000000,SmartRPA by marco2012,complete,2020-11-04T17:11:14.000,paul13,OperatingSystem,Explorer,moved,/design/bank.ods,/money/finally.mp4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,719022823000000,SmartRPA by marco2012,complete,2020-07-19T02:28:55.000,sharper,Browser,Chrome,cancelDialog,,,,,,,,,,,,,,,,,,,http://www.knight.com/environmental,"[""serverRedirect"",""fromAddressBar""]",,,,,,,,,,DIV,,commercial,,civil,,,,,,,"id(""cup/section[1]"")","id(""cup/section[1]"")"
54,407171022000000,SmartRPA by marco2012,complete,2020-04-07T17:13:03.000,shellymarquez,Browser,Chrome,dragElement,,,,,,,,,,,,,,,,,,,http://www.knight.com/,[],,,,,,,,,,IMG,,appear,,table,,,,,,,"id(""political/div[1]/url[0]"")","id(""political/div[1]/url[0]"")"
276,904164129000000,SmartRPA by marco2012,complete,2020-09-04T16:42:25.000,jenniferhays,Browser,Chrome,clickCheckboxButton,,,,,,,,,,,,,,,,,,,http://berger.net/,"[""fromAddressBar""]",,,,,,,,,,A,,civil,,structure,,,,,,,"id(""cultural"")","id(""cultural"")"
1152,1102191432000000,SmartRPA by marco2012,complete,2020-11-02T19:15:43.000,nmorgan,Browser,Chrome,newTab,,,,,,,,,,,,,,,,,,,http://www.werner.com/,[],,,,,,,,,,,,table,,,,,,,,,"id(""cultural"")","id(""cultural"")"
