Unnamed: 0,case:concept:name,case:creator,lifecycle:transition,time:timestamp,org:resource,category,application,concept:name,event_src_path,event_dest_path,clipboard_content,mouse_coord,workbook,current_worksheet,worksheets,sheets,cell_content,cell_range,cell_range_number,window_size,slides,effect,hotkey,id,title,description,browser_url,eventQual,tab_moved_from_index,tab_moved_to_index,newZoomFactor,oldZoomFactor,tab_pinned,tab_audible,tab_muted,window_ingognito,file_size,tag_category,tag_type,tag_name,tag_title,tag_value,tag_checked,tag_html,tag_href,tag_innerText,tag_option,tag_attributes,xpath,xpath_full
3768,828125557000000,SmartRPA by marco2012,complete,2020-08-28T13:04:30.000,qbarker,Browser,Chrome,contextMenu,,,,,,,,,,,,,,,,,,,http://murphy.info/how,"[""serverRedirect""]",,,,,,,,,,DIV,,training,,,,,,,,,"id(""hand/div[2]"")","id(""hand/div[2]"")"
125,214003534000000,SmartRPA by marco2012,complete,2020-02-14T00:48:07.000,ymartinez,OperatingSystem,Explorer,openFolder,/option/story.flac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,415130900000000,SmartRPA by marco2012,complete,2020-04-15T13:21:03.000,melissa36,OperatingSystem,Explorer,moved,/kind/imagine.avi,/whole/general.odt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,1022084210000000,SmartRPA by marco2012,complete,2020-10-22T09:12:55.000,kmartin,OperatingSystem,Notepad.exe,programOpen,/fire/police.avi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,703095223000000,SmartRPA by marco2012,complete,2020-07-03T10:38:34.000,hannah15,MicrosoftOffice,Microsoft Word,rightClickWindow,/them/own.gif,,,,,,,,,,,,,,,,doctor,,,,,,,,,,,,,,,,,,,,,,,,,
20385,320124654000000,SmartRPA by marco2012,complete,2020-03-20T13:20:06.000,sarah78,Browser,Chrome,removeBookmark,,,,,,,,,,,,,,,,,,,http://www.rodriguez.com/,[],,,,,,,,,,DIV,,reason,,traditional,,,,,,,"id(""hand/div[2]"")","id(""hand/div[2]"")"
1342,908053732000000,SmartRPA by marco2012,complete,2020-09-08T06:00:32.000,lisa04,Browser,Chrome,unpinnedTab,,,,,,,,,,,,,,,,,,,http://saunders.com/,"[""serverRedirect"",""fromAddressBar""]",,,,,,,,,,,,stuff,,,,,,,,,"id(""wear/url[0]/url[1]"")","id(""wear/url[0]/url[1]"")"
85,703095223000000,SmartRPA by marco2012,complete,2020-07-03T10:33:35.000,hannah15,MicrosoftOffice,Microsoft PowerPoint,printPresentation,/red/threat.wav,,,,,,,,,,,,"0, 1, 2, 3, 4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
413,621094749000000,SmartRPA by marco2012,complete,2020-06-21T09:54:26.000,hendersonmary,Browser,Chrome,dragElement,,,,,,,,,,,,,,,,,,,https://www.simon.org/,"[""serverRedirect"",""fromAddressBar""]",,,,,,,,,,IMG,,that,,control,,,,,,,"id(""hope"")","id(""hope"")"
613,417083351000000,SmartRPA by marco2012,complete,2020-04-17T08:41:27.000,christopher28,Browser,Chrome,moveBookmark,,,,,,,,,,,,,,,,,,,https://larson.com/,"[""fromAddressBar""]",,,,,,,,,,DIV,,security,,hair,,,,,,,"id(""provide/body[4]/a[1]"")","id(""provide/body[4]/a[1]"")"
1589,1106032254000000,SmartRPA by marco2012,complete,2020-11-06T03:30:12.000,donnarich,Browser,Chrome,enableBrowserExtension,,,,,,,,,,,,,,,,click_btn,,,http://reyes.org/,"[""serverRedirect""]",,,,,,,,,,A,,data,,False,,,,,,,"id(""environmental/section[1]"")","id(""environmental/section[1]"")"
11322,913201844000000,SmartRPA by marco2012,complete,2020-09-13T20:30:48.000,haley48,Browser,Chrome,urlHashChange,,,,,,,,,,,,,,,,,,,https://wheeler-castillo.com/either,"[""serverRedirect""]",,,,,,,,,,A,,so,,statement,,,,,,,"id(""have/html[0]/html[2]"")","id(""have/html[0]/html[2]"")"
16885,126013640000000,SmartRPA by marco2012,complete,2020-01-26T01:41:55.000,bschwartz,Browser,Chrome,startDownload,,,,,,,,,,,,,,,,,,,https://www.allen-williams.com/,[],,,,,,,,,,A,,including,,environmental,,,,,,,"id(""provide/body[4]/a[1]"")","id(""provide/body[4]/a[1]"")"
4598,1028090012000000,SmartRPA by marco2012,complete,2020-10-28T09:13:33.000,brandykim,Browser,Chrome,uninstallBrowserExtension,,,,,,,,,,,,,,,,check_link,,,http://delgado.com/,[],,,,,,,,,,INPUT,text,environmental,,able,,,,,,,"id(""upon"")","id(""upon"")"
569,422155247000000,SmartRPA by marco2012,complete,2020-04-22T16:28:25.000,pattyhamilton,OperatingSystem,Explorer,printSubmitted,/feeling/why.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14779,928131855000000,SmartRPA by marco2012,complete,2020-09-28T13:21:32.000,deborahzamora,Browser,Chrome,removeBookmark,,,,,,,,,,,,,,,,input_text,,,https://gonzalez.com/truth,"[""fromAddressBar""]",,,,,,,,,,BUTTON,submit,,,perform,,,,,,,"id(""environmental/section[1]"")","id(""environmental/section[1]"")"
137,116061232000000,SmartRPA by marco2012,complete,2020-01-16T06:33:42.000,twilliamson,Browser,Chrome,detachTab,,,,,,,,,,,,,,,,,,,http://www.chavez.com/close,"[""serverRedirect""]",,,,,,,,,,IMG,,brother,,several,,,,,,,"id(""start"")","id(""start"")"
1560,812224931000000,SmartRPA by marco2012,complete,2020-08-12T23:20:11.000,thoffman,OperatingSystem,Explorer,created,/second/wind.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43364,426181512000000,SmartRPA by marco2012,complete,2020-04-26T18:22:04.000,vlee,Browser,Chrome,modifyBookmark,,,,,,,,,,,,,,,,,,,http://reyes.org/,"[""serverRedirect""]",,,,,,,,,,,,organization,,trade,,,,,,,"id(""environmental/section[1]"")","id(""environmental/section[1]"")"
2036,921203645000000,SmartRPA by marco2012,complete,2020-09-21T20:43:20.000,smithangela,Browser,Chrome,clickLink,,,,,,,,,,,,,,,,,,,http://farmer-brown.org/,[],,,,,,,,,,,,data,,thousand,,,,,,,"id(""environmental/section[1]"")","id(""environmental/section[1]"")"
57394,304161720000000,SmartRPA by marco2012,complete,2020-03-04T16:26:07.000,david04,OperatingSystem,Explorer,moved,/indicate/doctor.txt,/ground/decision.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
964,504013606000000,SmartRPA by marco2012,complete,2020-05-04T02:06:52.000,sarah68,OperatingSystem,Explorer,moved,/pass/blood.key,/issue/school.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2606,616031447000000,SmartRPA by marco2012,complete,2020-06-16T03:17:48.000,cunninghamjames,MicrosoftOffice,Microsoft PowerPoint,openPresentation,/letter/network.mp3,,,,,,,,,,,,"0, 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
