,case:concept:name,case:creator,lifecycle:transition,time:timestamp,org:resource,category,application,concept:name,event_src_path,event_dest_path,clipboard_content,mouse_coord,workbook,current_worksheet,worksheets,sheets,cell_content,cell_range,cell_range_number,window_size,slides,effect,hotkey,id,title,description,browser_url,eventQual,tab_moved_from_index,tab_moved_to_index,newZoomFactor,oldZoomFactor,tab_pinned,tab_audible,tab_muted,window_ingognito,file_size,tag_category,tag_type,tag_name,tag_title,tag_value,tag_checked,tag_html,tag_href,tag_innerText,tag_option,tag_attributes,xpath,xpath_full
0,0801032329000000,SmartRPA by marco2012,complete,2020-08-01T03:23:36.000,zjones,MicrosoftOffice,Microsoft Excel,modelChangeWorkbook,,,,,Workbook14,Sheet19,"['Sheet19', 'Sheet5']",,statement,Y2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0801032329000000,SmartRPA by marco2012,complete,2020-08-01T03:24:14.000,zjones,MicrosoftOffice,Microsoft Excel,closeWorkbook,,,,,Workbook17,Sheet8,['Sheet8'],,fight,Y2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0801032329000000,SmartRPA by marco2012,complete,2020-08-01T03:24:33.000,zjones,MicrosoftOffice,Microsoft PowerPoint,newPresentationSlide,/goal/town.avi,,,,,,,,,,,,"0, 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0801032329000000,SmartRPA by marco2012,complete,2020-08-01T03:25:08.000,zjones,OperatingSystem,Clipboard,copy,,,Tell step tell east.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0801032329000000,SmartRPA by marco2012,complete,2020-08-01T03:25:49.000,zjones,OperatingSystem,,hotkey,,,,,,,,,,,,,,,F5,,,Refresh,,,,,,,,,,,,,,,,,,,,,,,,
5,0801032329000000,SmartRPA by marco2012,complete,2020-08-01T03:26:19.000,zjones,OperatingSystem,Explorer,Mount,/out/store.css,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0801032329000000,SmartRPA by marco2012,complete,2020-08-01T03:27:14.000,zjones,MicrosoftOffice,Microsoft PowerPoint,slideshowBegin,/need/heart.pdf,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0801032329000000,SmartRPA by marco2012,complete,2020-08-01T03:28:07.000,zjones,Browser,Chrome,attachTab,,,,,,,,,,,,,,,,,,,http://www.holloway.com/,"[""serverRedirect""]",,,,,,,,,,,,just,,summer,,,,,,,"id(""news/url[1]"")","id(""news/url[1]"")"
8,0801032329000000,SmartRPA by marco2012,complete,2020-08-01T03:28:59.000,zjones,MicrosoftOffice,Microsoft PowerPoint,rightClickPresentation,/language/it.avi,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0801032329000000,SmartRPA by marco2012,complete,2020-08-01T03:29:50.000,zjones,MicrosoftOffice,Microsoft Word,activateWindow,/third/collection.js,,,,,,,,,,,,,,,,purpose,,,,,,,,,,,,,,,,,,,,,,,,,
10,0801032329000000,SmartRPA by marco2012,complete,2020-08-01T03:30:27.000,zjones,MicrosoftOffice,Microsoft PowerPoint,slideshowEnd,/follow/build.html,,,,,,,,,,,,"0, 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0801032329000000,SmartRPA by marco2012,complete,2020-08-01T03:30:33.000,zjones,MicrosoftOffice,Microsoft Word,activateWindow,/no/interesting.mp3,,,,,,,,,,,,,,,,nature,,,,,,,,,,,,,,,,,,,,,,,,,
12,0801032329000000,SmartRPA by marco2012,complete,2020-08-01T03:31:07.000,zjones,OperatingSystem,Explorer,insertUSB,/surface/prevent.numbers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0801032329000000,SmartRPA by marco2012,complete,2020-08-01T03:31:40.000,zjones,OperatingSystem,Explorer,Unmount,/include/election.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0801032329000000,SmartRPA by marco2012,complete,2020-08-01T03:31:59.000,zjones,OperatingSystem,Explorer,deleted,/last/discussion.flac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0801032329000000,SmartRPA by marco2012,complete,2020-08-01T03:32:58.000,zjones,MicrosoftOffice,Microsoft Word,doubleClickWindow,/surface/prevent.numbers,,,,,,,,,,,,,,,,fight,,,,,,,,,,,,,,,,,,,,,,,,,
