"Unnamed: 0","target.name","case:creator","lifecycle:transition","timeStamp","userID","target.class","targetApp","eventType","event_src_path","event_dest_path","content","mouse_coord","target.workbookName","target.sheetName","worksheets","sheets","cell_content","cell_range","cell_range_number","window_size","slides","effect","hotkey","target.id","title","description","url","eventQual","tab_moved_from_index","tab_moved_to_index","newZoomFactor","oldZoomFactor","tab_pinned","tab_audible","tab_muted","window_ingognito","file_size","tag_category","target.type","target.tagName","target.title","target.value","target.checked","target.innerHTML","target.href","target.innerText","target.option","tag_attributes","xpath","xpath_full"
"1202","716215938000000","SmartRPA by marco2012","complete","2020-07-16T22:00:49.000","kelly31","Browser","Chrome","disableBrowserExtension","","","","","","","","","","","","","","","","","","","https://www.smith-watkins.com/","[""serverRedirect""]","","","","","","","","","","BUTTON","submit","no","","table","","","","","","","id(""cultural"")","id(""cultural"")"
"171","831044746000000","SmartRPA by marco2012","complete","2020-08-31T04:58:17.000","brianmiller","OperatingSystem","Notepad.exe","programClose","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"371","1022205335000000","SmartRPA by marco2012","complete","2020-10-22T21:03:01.000","richard13","OperatingSystem","Explorer","moved","/stay/alone.flac","/event/cause.mov","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"998","915004520000000","SmartRPA by marco2012","complete","2020-09-15T00:57:12.000","nicole36","OperatingSystem","Explorer","moved","/sea/eat.mp4","/reduce/way.csv","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1150","1102191432000000","SmartRPA by marco2012","complete","2020-11-02T19:14:46.000","nmorgan","Browser","Chrome","disableBrowserExtension","","","","","","","","","","","","","","","","","","","https://www.dudley.com/","[]","","","","","","","","","","INPUT","text","cup","","False","","","","","","","id(""cultural"")","id(""cultural"")"
"701","505051644000000","SmartRPA by marco2012","complete","2020-05-05T05:18:17.000","alexis48","Browser","Chrome","submit","","","","","","","","","","","","","","","","","","","http://www.fisher.com/","[""serverRedirect""]","","","","","","","","","","","","","","True","","","","","","","id(""cup/section[1]"")","id(""cup/section[1]"")"
"21","415130900000000","SmartRPA by marco2012","complete","2020-04-15T13:20:39.000","melissa36","OperatingSystem","Explorer","moved","/up/development.pdf","/anything/clearly.key","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"659","929050803000000","SmartRPA by marco2012","complete","2020-09-29T05:12:44.000","alexandramunoz","MicrosoftOffice","Microsoft Word","openDocument","/soldier/because.doc","","","","","","","","","","","","","","","","stuff","","","","","","","","","","","","","","","","","","","","","","","","",""
"34","908071338000000","SmartRPA by marco2012","complete","2020-09-08T07:19:34.000","allisonkeith","MicrosoftOffice","Microsoft Excel","activateWorkbook","","","","","Workbook14","Sheet19","['Sheet19', 'Sheet12']","","within","X13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"229","317150939000000","SmartRPA by marco2012","complete","2020-03-17T15:11:40.000","smithanna","Browser","Chrome","typed","","","","","","","","","","","","","","","","","","","http://www.fisher.com/","[""serverRedirect""]","","","","","","","","","","DIV","","long","","within","","","","","","","id(""political/div[1]/url[0]"")","id(""political/div[1]/url[0]"")"
"699","1104165910000000","SmartRPA by marco2012","complete","2020-11-04T17:11:14.000","paul13","OperatingSystem","Explorer","moved","/design/bank.ods","/money/finally.mp4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"978","915004520000000","SmartRPA by marco2012","complete","2020-09-15T00:46:46.000","nicole36","Browser","Chrome","typed","","","","","","","","","","","","","","","","","","","https://www.thomas-simpson.com/","[]","","","","","","","","","","INPUT","text","table","","structure","","","","","","","id(""cup/section[1]"")","id(""cup/section[1]"")"
"928","1008201458000000","SmartRPA by marco2012","complete","2020-10-08T20:17:27.000","carrsarah","Browser","Chrome","clickRadioButton","","","","","","","","","","","","","","","","","","","http://mckinney.biz/carry","[]","","","","","","","","","","","","cup","","structure","","","","","","","id(""cultural"")","id(""cultural"")"
"1375","918151013000000","SmartRPA by marco2012","complete","2020-09-18T15:11:11.000","lisa88","Browser","Chrome","newTab","","","","","","","","","","","","","","","","","","","https://www.thomas-simpson.com/person","[]","","","","","","","","","","BUTTON","submit","","","be","","","","","","","id(""cultural"")","id(""cultural"")"
"804","504011832000000","SmartRPA by marco2012","complete","2020-05-04T01:22:02.000","sydneypowell","Browser","Chrome","unpinnedTab","","","","","","","","","","","","","","","","","","","https://www.thomas-simpson.com/","[]","","","","","","","","","","","","west","","","","","","","","","id(""cup/section[1]"")","id(""cup/section[1]"")"
"258","816064601000000","SmartRPA by marco2012","complete","2020-08-16T06:50:46.000","benjamin00","MicrosoftOffice","Microsoft PowerPoint","slideshowEnd","/stay/alone.flac","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1008","124224430000000","SmartRPA by marco2012","complete","2020-01-24T22:48:39.000","moorejorge","MicrosoftOffice","Microsoft PowerPoint","openPresentation","/whole/general.odt","","","","","","","","","","","","0, 1, 2","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"840","714112346000000","SmartRPA by marco2012","complete","2020-07-14T11:33:19.000","jamielopez","OperatingSystem","Explorer","moved","/reduce/way.csv","/reduce/way.csv","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"959","723165240000000","SmartRPA by marco2012","complete","2020-07-23T16:57:41.000","frose","MicrosoftOffice","Microsoft PowerPoint","slideshowBegin","/stay/alone.flac","","","","","","","","","","","","0, 1, 2","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1402","303080812000000","SmartRPA by marco2012","complete","2020-03-03T08:09:17.000","markgutierrez","Browser","Chrome","modifyBookmark","","","","","","","","","","","","","","","","input_text","","","http://www.knight.com/","[]","","","","","","","","","","INPUT","text","structure","","amount","","","","","","","id(""political/div[1]/url[0]"")","id(""political/div[1]/url[0]"")"
"1406","303080812000000","SmartRPA by marco2012","complete","2020-03-03T08:10:46.000","markgutierrez","MicrosoftOffice","Microsoft PowerPoint","previousSlideshow","/forward/year.mov","","","","","","","","","","","","0, 1, 2","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"228","317150939000000","SmartRPA by marco2012","complete","2020-03-17T15:11:12.000","smithanna","Browser","Chrome","clickRadioButton","","","","","","","","","","","","","","","","","","","http://berger.net/finally","[""serverRedirect""]","","","","","","","","","","BUTTON","submit","amount","","structure","","","","","","","id(""cultural"")","id(""cultural"")"
"173","831044746000000","SmartRPA by marco2012","complete","2020-08-31T04:59:48.000","brianmiller","OperatingSystem","Explorer","moved","/two/any.csv","/kind/imagine.avi","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"266","816064601000000","SmartRPA by marco2012","complete","2020-08-16T06:54:18.000","benjamin00","OperatingSystem","Explorer","openFolder","/reduce/way.csv","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"675","1104165910000000","SmartRPA by marco2012","complete","2020-11-04T16:59:57.000","paul13","Browser","Chrome","unpinnedTab","","","","","","","","","","","","","","","","","","","http://cooper-hall.info/","[]","","","","","","","","","","IMG","","commercial","","store","","","","","","","id(""political/div[1]/url[0]"")","id(""political/div[1]/url[0]"")"
"71","407171022000000","SmartRPA by marco2012","complete","2020-04-07T17:21:02.000","shellymarquez","OperatingSystem","Explorer","moved","/structure/everyone.jpg","/design/bank.ods","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1075","808194305000000","SmartRPA by marco2012","complete","2020-08-08T19:43:43.000","wendy24","Browser","Chrome","newTab","","","","","","","","","","","","","","","","","","","https://www.dudley.com/model","[""fromAddressBar""]","","","","","","","","","","","","no","","news","","","","","","","id(""cup/section[1]"")","id(""cup/section[1]"")"
"119","719022823000000","SmartRPA by marco2012","complete","2020-07-19T02:36:19.000","sharper","OperatingSystem","Explorer","moved","/quite/military.mp3","/kind/imagine.avi","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"180","402063108000000","SmartRPA by marco2012","complete","2020-04-02T06:35:11.000","cynthiahill","MicrosoftOffice","Microsoft PowerPoint","SlideSelectionChanged","/kind/imagine.avi","","","","","","","","","","","","0, 1","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"652","929050803000000","SmartRPA by marco2012","complete","2020-09-29T05:09:05.000","alexandramunoz","Browser","Chrome","clickCheckboxButton","","","","","","","","","","","","","","","","","","","http://mckinney.biz/carry","[]","","","","","","","","","","A","","civil","","commercial","","","","","","","id(""political/div[1]/url[0]"")","id(""political/div[1]/url[0]"")"
"126","111113159000000","SmartRPA by marco2012","complete","2020-01-11T11:33:16.000","cookjacqueline","Browser","Chrome","clickLink","","","","","","","","","","","","","","","","","","","http://www.werner.com/","[]","","","","","","","","","","A","","dog","","","","","","","","","id(""political/div[1]/url[0]"")","id(""political/div[1]/url[0]"")"
"1433","828173251000000","SmartRPA by marco2012","complete","2020-08-28T17:38:06.000","steven34","MicrosoftOffice","Microsoft Word","openDocument","/decade/care.json","","","","","","","","","","","","","","","","cup","","","","","","","","","","","","","","","","","","","","","","","","",""
"159","831044746000000","SmartRPA by marco2012","complete","2020-08-31T04:52:53.000","brianmiller","MicrosoftOffice","Microsoft PowerPoint","SlideSelectionChanged","/soldier/because.doc","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1032","416160934000000","SmartRPA by marco2012","complete","2020-04-16T16:14:30.000","mary08","MicrosoftOffice","Microsoft Word","openDocument","/stay/alone.flac","","","","","","","","","","","","","","","","appear","","","","","","","","","","","","","","","","","","","","","","","","",""
"953","723165240000000","SmartRPA by marco2012","complete","2020-07-23T16:54:40.000","frose","Browser","Chrome","newWindow","","","","","","","","","","","","","","","","","","","http://cooper-hall.info/","[""serverRedirect""]","","","","","","","","","","","","structure","","","","","","","","","id(""cultural"")","id(""cultural"")"
"27","908071338000000","SmartRPA by marco2012","complete","2020-09-08T07:14:40.000","allisonkeith","Browser","Chrome","newTab","","","","","","","","","","","","","","","","","","","http://www.knight.com/","[]","","","","","","","","","","BUTTON","submit","no","","True","","","","","","","id(""cultural"")","id(""cultural"")"
"1100","326090915000000","SmartRPA by marco2012","complete","2020-03-26T09:09:46.000","ulawson","Browser","Chrome","newTab","","","","","","","","","","","","","","","","","","","http://berger.net/finally","[""serverRedirect"",""fromAddressBar""]","","","","","","","","","","INPUT","text","no","","within","","","","","","","id(""cultural"")","id(""cultural"")"
"70","407171022000000","SmartRPA by marco2012","complete","2020-04-07T17:20:15.000","shellymarquez","OperatingSystem","Explorer","moved","/reduce/way.csv","/forward/year.mov","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"579","624221640000000","SmartRPA by marco2012","complete","2020-06-24T22:19:29.000","madisonbrown","Browser","Chrome","removeBookmark","","","","","","","","","","","","","","","","","","","http://www.fisher.com/","[]","","","","","","","","","","DIV","","within","","True","","","","","","","id(""cup/section[1]"")","id(""cup/section[1]"")"
"1254","1107105608000000","SmartRPA by marco2012","complete","2020-11-07T10:59:44.000","xmendez","Browser","Chrome","removeBookmark","","","","","","","","","","","","","","","","","","","http://berger.net/finally","[]","","","","","","","","","","INPUT","text","store","","news","","","","","","","id(""cup/section[1]"")","id(""cup/section[1]"")"
"291","904164129000000","SmartRPA by marco2012","complete","2020-09-04T16:49:27.000","jenniferhays","OperatingSystem","Explorer","openFolder","/whole/general.odt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"768","113140810000000","SmartRPA by marco2012","complete","2020-01-13T14:17:34.000","clarksamantha","OperatingSystem","Explorer","moved","/letter/network.mp3","/decade/care.json","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1376","918151013000000","SmartRPA by marco2012","complete","2020-09-18T15:11:12.000","lisa88","Browser","Chrome","unpinnedTab","","","","","","","","","","","","","","","","","","","https://www.smith-watkins.com/","[""serverRedirect""]","","","","","","","","","","INPUT","text","interest","","news","","","","","","","id(""cultural"")","id(""cultural"")"
"653","929050803000000","SmartRPA by marco2012","complete","2020-09-29T05:09:33.000","alexandramunoz","Browser","Chrome","submit","","","","","","","","","","","","","","","","input_text","","","http://www.fisher.com/","[""serverRedirect""]","","","","","","","","","","INPUT","text","commercial","","civil","","","","","","","id(""cultural"")","id(""cultural"")"
"45900","325151445000000","SmartRPA by marco2012","complete","2020-03-25T15:14:54.000","opetersen","OperatingSystem","Explorer","created","/case/run.wav","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"45901","325151445000000","SmartRPA by marco2012","complete","2020-03-25T15:14:56.000","opetersen","OperatingSystem","Clipboard","paste","","","Television suffer water until body adult administration that.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"45902","325151445000000","SmartRPA by marco2012","complete","2020-03-25T15:15:00.000","opetersen","OperatingSystem","Explorer","created","/present/result.tiff","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"45903","325151445000000","SmartRPA by marco2012","complete","2020-03-25T15:15:30.000","opetersen","OperatingSystem","Explorer","printSubmitted","/culture/coach.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"45904","325151445000000","SmartRPA by marco2012","complete","2020-03-25T15:16:06.000","opetersen","OperatingSystem","Explorer","created","/one/or.csv","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
