Unnamed: 0,case:concept:name,case:creator,lifecycle:transition,time:timestamp,org:resource,category,application,concept:name,event_src_path,event_dest_path,clipboard_content,mouse_coord,workbook,current_worksheet,worksheets,sheets,cell_content,cell_range,cell_range_number,window_size,slides,effect,hotkey,id,title,description,browser_url,eventQual,tab_moved_from_index,tab_moved_to_index,newZoomFactor,oldZoomFactor,tab_pinned,tab_audible,tab_muted,window_ingognito,file_size,tag_category,tag_type,tag_name,tag_title,tag_value,tag_checked,tag_html,tag_href,tag_innerText,tag_option,tag_attributes,xpath,xpath_full
2900,502232141000000,SmartRPA by marco2012,complete,2020-05-02T23:22:12.000,marc98,OperatingSystem,Explorer,openFile,/less/health.pptx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2901,502232141000000,SmartRPA by marco2012,complete,2020-05-02T23:23:10.000,marc98,OperatingSystem,Explorer,modified,/simple/strong.pages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2902,502232141000000,SmartRPA by marco2012,complete,2020-05-02T23:24:06.000,marc98,OperatingSystem,Clipboard,cut,,,Tell them already reduce.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2903,502232141000000,SmartRPA by marco2012,complete,2020-05-02T23:24:23.000,marc98,OperatingSystem,Explorer,moved,/simple/strong.pages,/most/market.gif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2904,502232141000000,SmartRPA by marco2012,complete,2020-05-02T23:24:39.000,marc98,OperatingSystem,,hotkey,,,,,,,,,,,,,,,win+f,,,Search for files,,,,,,,,,,,,,,,,,,,,,,,,
6904,421053942000000,SmartRPA by marco2012,complete,2020-04-21T05:42:57.000,kevin65,Browser,Chrome,dragElement,,,,,,,,,,,,,,,,,,,https://www.everett-glover.com/know,[],,,,,,,,,,IMG,,provide,,including,,,,,,,"id(""provide/body[4]/a[1]"")","id(""provide/body[4]/a[1]"")"
3401,804110809000000,SmartRPA by marco2012,complete,2020-08-04T11:08:45.000,grodriguez,Browser,Chrome,clickCheckboxButton,,,,,,,,,,,,,,,,check_link,,,http://www.fisher.com/,[],,,,,,,,,,A,,table,,appear,,,,,,,"id(""cultural"")","id(""cultural"")"
1253,1107105608000000,SmartRPA by marco2012,complete,2020-11-07T10:59:40.000,xmendez,Browser,Chrome,submit,,,,,,,,,,,,,,,,,,,http://cooper-hall.info/heart,"[""fromAddressBar""]",,,,,,,,,,BUTTON,submit,appear,,dog,,,,,,,"id(""political/div[1]/url[0]"")","id(""political/div[1]/url[0]"")"
545,522022011000000,SmartRPA by marco2012,complete,2020-05-22T02:31:24.000,pughgary,OperatingSystem,Explorer,openFile,/similar/bring.odt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6452,719175533000000,SmartRPA by marco2012,complete,2020-07-19T17:56:45.000,pachecorobin,Browser,Chrome,urlHashChange,,,,,,,,,,,,,,,,,,,https://www.allen-williams.com/economic,[],,,,,,,,,,,,she,,trade,,,,,,,"id(""trial"")","id(""trial"")"
129,111113159000000,SmartRPA by marco2012,complete,2020-01-11T11:34:58.000,cookjacqueline,Browser,Chrome,removeBookmark,,,,,,,,,,,,,,,,,,,http://www.fisher.com/body,"[""serverRedirect"",""fromAddressBar""]",,,,,,,,,,A,,within,,amount,,,,,,,"id(""political/div[1]/url[0]"")","id(""political/div[1]/url[0]"")"
458,805012455000000,SmartRPA by marco2012,complete,2020-08-05T01:30:11.000,jeffreyholland,Browser,Chrome,closeTab,,,,,,,,,,,,,,,,,,,http://farmer-brown.org/,"[""fromAddressBar""]",,,,,,,,,,,,data,,fund,,,,,,,"id(""provide/body[4]/a[1]"")","id(""provide/body[4]/a[1]"")"
2407,717083105000000,SmartRPA by marco2012,complete,2020-07-17T08:35:50.000,kennethbennett,Browser,Chrome,closedNotification,,,,,,,,,,,,,,,,,,,https://www.lopez-osborne.com/,"[""serverRedirect"",""fromAddressBar""]",,,,,,,,,,IMG,,data,,security,,,,,,,"id(""environmental/section[1]"")","id(""environmental/section[1]"")"
534,522022011000000,SmartRPA by marco2012,complete,2020-05-22T02:25:24.000,pughgary,Browser,Chrome,contextMenu,,,,,,,,,,,,,,,,,,,https://www.stone.biz/,[],,,,,,,,,,INPUT,text,perform,,trade,,,,,,,"id(""environmental/section[1]"")","id(""environmental/section[1]"")"
1754,912145129000000,SmartRPA by marco2012,complete,2020-09-12T14:53:38.000,nicholasholloway,Browser,Chrome,newTab,,,,,,,,,,,,,,,,,,,http://mckinney.biz/,"[""fromAddressBar""]",,,,,,,,,,INPUT,text,interest,,,,,,,,,"id(""cultural"")","id(""cultural"")"
2485,901223407000000,SmartRPA by marco2012,complete,2020-09-01T22:40:10.000,kristatorres,Browser,Chrome,dragElement,,,,,,,,,,,,,,,,,,,https://www.allen-williams.com/economic,"[""fromAddressBar""]",,,,,,,,,,,,,,including,,,,,,,"id(""provide/body[4]/a[1]"")","id(""provide/body[4]/a[1]"")"
628,417083351000000,SmartRPA by marco2012,complete,2020-04-17T08:49:54.000,christopher28,OperatingSystem,Explorer,moved,/point/else.csv,/green/film.odp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
871,210032851000000,SmartRPA by marco2012,complete,2020-02-10T03:51:32.000,bonnie98,MicrosoftOffice,Microsoft Excel,saveWorkbook,/similar/bring.odt,,,,Workbook1,Sheet16,['Sheet16'],,,A18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1745,1103172501000000,SmartRPA by marco2012,complete,2020-11-03T17:35:01.000,bradley60,OperatingSystem,Explorer,moved,/sea/eat.mp4,/family/ok.doc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,105220700000000,SmartRPA by marco2012,complete,2020-01-05T22:27:46.000,patriciabutler,MicrosoftOffice,Microsoft PowerPoint,activateWindow,/mention/guess.avi,,,,,,,,,,,,"0, 1, 2, 3, 4, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1079,224033121000000,SmartRPA by marco2012,complete,2020-02-24T03:46:14.000,obrooks,OperatingSystem,Explorer,insertUSB,/recent/bad.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1517,919175924000000,SmartRPA by marco2012,complete,2020-09-19T18:06:43.000,gmarshall,OperatingSystem,Explorer,Mount,/recent/bad.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1136,128152723000000,SmartRPA by marco2012,complete,2020-01-28T15:32:44.000,stephensjohnny,Browser,Chrome,selectText,,,,,,,,,,,,,,,,,,,https://www.stone.biz/,[],,,,,,,,,,BUTTON,submit,provide,,perform,,,,,,,"id(""environmental/section[1]"")","id(""environmental/section[1]"")"
6157,430053957000000,SmartRPA by marco2012,complete,2020-04-30T05:44:37.000,morrislinda,Browser,Chrome,modifyBookmark,,,,,,,,,,,,,,,,,,,https://www.everett-glover.com/,[],,,,,,,,,,BUTTON,submit,ok,,ok,,,,,,,"id(""environmental/section[1]"")","id(""environmental/section[1]"")"
2900,502232141000000,SmartRPA by marco2012,complete,2020-05-02T23:22:12.000,marc98,OperatingSystem,Explorer,openFile,/less/health.pptx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2901,502232141000000,SmartRPA by marco2012,complete,2020-05-02T23:23:10.000,marc98,OperatingSystem,Explorer,modified,/simple/strong.pages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2902,502232141000000,SmartRPA by marco2012,complete,2020-05-02T23:24:06.000,marc98,OperatingSystem,Clipboard,cut,,,Tell them already reduce.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2903,502232141000000,SmartRPA by marco2012,complete,2020-05-02T23:24:23.000,marc98,OperatingSystem,Explorer,moved,/simple/strong.pages,/most/market.gif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2904,502232141000000,SmartRPA by marco2012,complete,2020-05-02T23:24:39.000,marc98,OperatingSystem,,hotkey,,,,,,,,,,,,,,,win+f,,,Search for files,,,,,,,,,,,,,,,,,,,,,,,,
440,329080028000000,SmartRPA by marco2012,complete,2020-03-29T08:35:00.000,derrickgriffin,MicrosoftOffice,Microsoft PowerPoint,closePresentation,/exist/not.tiff,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
