Unnamed: 0,case:concept:name,case:creator,lifecycle:transition,time:timestamp,org:resource,category,application,concept:name,event_src_path,event_dest_path,clipboard_content,mouse_coord,workbook,current_worksheet,worksheets,sheets,cell_content,cell_range,cell_range_number,window_size,slides,effect,hotkey,id,title,description,browser_url,eventQual,tab_moved_from_index,tab_moved_to_index,newZoomFactor,oldZoomFactor,tab_pinned,tab_audible,tab_muted,window_ingognito,file_size,tag_category,tag_type,tag_name,tag_title,tag_value,tag_checked,tag_html,tag_href,tag_innerText,tag_option,tag_attributes,xpath,xpath_full
759,113140810000000,SmartRPA by marco2012,complete,2020-01-13T14:12:23.000,clarksamantha,MicrosoftOffice,Microsoft PowerPoint,previousSlideshow,/family/ok.doc,,,,,,,,,,,,"0, 1, 2, 3, 4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1244,216164326000000,SmartRPA by marco2012,complete,2020-02-16T16:52:28.000,dcortez,OperatingSystem,VisualStudioCode,programClose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
522,210193318000000,SmartRPA by marco2012,complete,2020-02-10T19:46:18.000,maria90,OperatingSystem,SublimeText,programClose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
674,929050803000000,SmartRPA by marco2012,complete,2020-09-29T05:20:34.000,alexandramunoz,OperatingSystem,Explorer,Unmount,/soldier/because.doc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1035,416160934000000,SmartRPA by marco2012,complete,2020-04-16T16:16:45.000,mary08,OperatingSystem,Clipboard,paste,,,Push walk fine rise picture voice.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,402063108000000,SmartRPA by marco2012,complete,2020-04-02T06:41:32.000,cynthiahill,OperatingSystem,Explorer,moved,/sea/eat.mp4,/money/finally.mp4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1321,623143754000000,SmartRPA by marco2012,complete,2020-06-23T14:47:25.000,colton87,OperatingSystem,Explorer,openFolder,/letter/network.mp3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1305,623143754000000,SmartRPA by marco2012,complete,2020-06-23T14:40:51.000,colton87,MicrosoftOffice,Microsoft Excel,XMLImportWorkbook,,,,,Workbook6,Sheet14,['Sheet14'],,table,C20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,908071338000000,SmartRPA by marco2012,complete,2020-09-08T07:18:47.000,allisonkeith,MicrosoftOffice,Microsoft PowerPoint,slideshowBegin,/decade/care.json,,,,,,,,,,,,"0, 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1302,623143754000000,SmartRPA by marco2012,complete,2020-06-23T14:39:34.000,colton87,Browser,Microsoft Excel,closeWindow,,,,,Workbook2,Sheet6,"['Sheet6', 'Sheet11']",,stuff,S9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
