Unnamed: 0,case:concept:name,case:creator,lifecycle:transition,time:timestamp,org:resource,category,application,concept:name,event_src_path,event_dest_path,clipboard_content,mouse_coord,workbook,current_worksheet,worksheets,sheets,cell_content,cell_range,cell_range_number,window_size,slides,effect,hotkey,id,title,description,browser_url,eventQual,tab_moved_from_index,tab_moved_to_index,newZoomFactor,oldZoomFactor,tab_pinned,tab_audible,tab_muted,window_ingognito,file_size,tag_category,tag_type,tag_name,tag_title,tag_value,tag_checked,tag_html,tag_href,tag_innerText,tag_option,tag_attributes,xpath,xpath_full
2184,1004051513000000,SmartRPA by marco2012,complete,2020-10-04T05:19:52.000,pdavis,MicrosoftOffice,Microsoft PowerPoint,slideshowBegin,/forward/year.mov,,,,,,,,,,,,"0, 1, 2, 3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2696,509074139000000,SmartRPA by marco2012,complete,2020-05-09T08:14:49.000,lhoover,MicrosoftOffice,Microsoft Excel,openWindow,,,,,Workbook7,Sheet7,['Sheet7'],,,T3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1150,128152723000000,SmartRPA by marco2012,complete,2020-01-28T15:39:31.000,stephensjohnny,OperatingSystem,Explorer,modified,/long/myself.mp4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5432,620112629000000,SmartRPA by marco2012,complete,2020-06-20T11:29:35.000,djohnson,MicrosoftOffice,Microsoft Excel,rightClickEmptyCell,,,,,Workbook3,Sheet17,['Sheet17'],,long,Z2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4800,610024828000000,SmartRPA by marco2012,complete,2020-06-10T02:48:51.000,brendashepherd,Browser,Chrome,form_submit,,,,,,,,,,,,,,,,input_text,,,http://reyes.org/,"[""serverRedirect""]",,,,,,,,,,INPUT,text,someone,,ok,,,,,,,"id(""provide/body[4]/a[1]"")","id(""provide/body[4]/a[1]"")"
4337,716133121000000,SmartRPA by marco2012,complete,2020-07-16T14:04:24.000,jgraham,MicrosoftOffice,Microsoft PowerPoint,clickNextSlideshow,/point/else.csv,,,,,,,,,,,,"0, 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2855,405010414000000,SmartRPA by marco2012,complete,2020-04-05T01:08:02.000,qknox,MicrosoftOffice,Microsoft PowerPoint,slideshowBegin,/two/any.csv,,,,,,,,,,,,"0, 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1022,124224430000000,SmartRPA by marco2012,complete,2020-01-24T22:54:08.000,moorejorge,OperatingSystem,Explorer,moved,/letter/network.mp3,/structure/everyone.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4015,723055410000000,SmartRPA by marco2012,complete,2020-07-23T06:01:29.000,barbara51,OperatingSystem,Explorer,openFolder,/up/development.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3387,619052526000000,SmartRPA by marco2012,complete,2020-06-19T05:31:15.000,rnavarro,OperatingSystem,Explorer,created,/decade/care.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
