Unnamed: 0,case:concept:name,case:creator,lifecycle:transition,time:timestamp,org:resource,category,application,concept:name,event_src_path,event_dest_path,clipboard_content,mouse_coord,workbook,current_worksheet,worksheets,sheets,cell_content,cell_range,cell_range_number,window_size,slides,effect,hotkey,id,title,description,browser_url,eventQual,tab_moved_from_index,tab_moved_to_index,newZoomFactor,oldZoomFactor,tab_pinned,tab_audible,tab_muted,window_ingognito,file_size,tag_category,tag_type,tag_name,tag_title,tag_value,tag_checked,tag_html,tag_href,tag_innerText,tag_option,tag_attributes,xpath,xpath_full
288,1009171339000000,SmartRPA by marco2012,complete,2020-10-09T17:44:05.000,pmurray,MicrosoftOffice,Microsoft PowerPoint,SlideSelectionChanged,/relate/key.mp3,,,,,,,,,,,,"0, 1, 2, 3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1848,713042851000000,SmartRPA by marco2012,complete,2020-07-13T04:52:28.000,hugheselizabeth,MicrosoftOffice,Microsoft PowerPoint,closePresentation,/long/myself.mp4,,,,,,,,,,,,"0, 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4427,618232006000000,SmartRPA by marco2012,complete,2020-06-18T23:22:22.000,chad29,Browser,Chrome,typed,,,,,,,,,,,,,,,,,,,http://berger.net/,"[""serverRedirect"",""fromAddressBar""]",,,,,,,,,,IMG,,news,,cultural,,,,,,,"id(""cultural"")","id(""cultural"")"
4478,308090620000000,SmartRPA by marco2012,complete,2020-03-08T09:08:48.000,carterjillian,Browser,Chrome,disableBrowserExtension,,,,,,,,,,,,,,,,check_link,,,https://www.thomas-simpson.com/person,"[""fromAddressBar""]",,,,,,,,,,A,,cultural,,dog,,,,,,,"id(""cup/section[1]"")","id(""cup/section[1]"")"
4928,1007184359000000,SmartRPA by marco2012,complete,2020-10-07T18:46:12.000,qthomas,Browser,Chrome,clickCheckboxButton,,,,,,,,,,,,,,,,,,,http://www.knight.com/,[],,,,,,,,,,IMG,,no,,table,,,,,,,"id(""cup/section[1]"")","id(""cup/section[1]"")"
3553,426070308000000,SmartRPA by marco2012,complete,2020-04-26T07:05:02.000,andrew78,Browser,Chrome,removeBookmark,,,,,,,,,,,,,,,,,,,http://www.fisher.com/body,[],,,,,,,,,,,,long,,,,,,,,,"id(""cultural"")","id(""cultural"")"
228,317150939000000,SmartRPA by marco2012,complete,2020-03-17T15:11:12.000,smithanna,Browser,Chrome,clickRadioButton,,,,,,,,,,,,,,,,,,,http://berger.net/finally,"[""serverRedirect""]",,,,,,,,,,BUTTON,submit,amount,,structure,,,,,,,"id(""cultural"")","id(""cultural"")"
1328,1018084549000000,SmartRPA by marco2012,complete,2020-10-18T08:47:40.000,adamrobinson,Browser,Chrome,cancelDialog,,,,,,,,,,,,,,,,,,,https://www.dudley.com/,[],,,,,,,,,,,,stuff,,False,,,,,,,"id(""cup/section[1]"")","id(""cup/section[1]"")"
781,728160403000000,SmartRPA by marco2012,complete,2020-07-28T16:07:03.000,troybrewer,MicrosoftOffice,Microsoft PowerPoint,newPresentationSlide,/quite/military.mp3,,,,,,,,,,,,"0, 1, 2, 3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1929,222225602000000,SmartRPA by marco2012,complete,2020-02-22T22:58:59.000,istevens,Browser,Chrome,cancelDialog,,,,,,,,,,,,,,,,,,,http://www.knight.com/,"[""serverRedirect"",""fromAddressBar""]",,,,,,,,,,,,,,political,,,,,,,"id(""cup/section[1]"")","id(""cup/section[1]"")"
4569,331153212000000,SmartRPA by marco2012,complete,2020-03-31T15:42:49.000,odean,OperatingSystem,Explorer,moved,/quite/military.mp3,/establish/bag.mov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
