"Unnamed: 0","target.name","case:creator","lifecycle:transition","timeStamp","userID","target.class","targetApp","eventType","event_src_path","event_dest_path","content","mouse_coord","target.workbookName","target.sheetName","worksheets","sheets","cell_content","cell_range","cell_range_number","window_size","slides","effect","hotkey","target.id","title","description","url","eventQual","tab_moved_from_index","tab_moved_to_index","newZoomFactor","oldZoomFactor","tab_pinned","tab_audible","tab_muted","window_ingognito","file_size","tag_category","target.type","target.tagName","target.title","target.value","target.checked","target.innerHTML","target.href","target.innerText","target.option","tag_attributes","xpath","xpath_full"
"232","317150939000000","SmartRPA by marco2012","complete","2020-03-17T15:12:51.000","smithanna","MicrosoftOffice","Microsoft Excel","getRange","","","","","Workbook10","Sheet5","['Sheet5']","","west","X13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"431","601233356000000","SmartRPA by marco2012","complete","2020-06-01T23:35:30.000","osbornemichael","MicrosoftOffice","Microsoft Excel","getRange","","","","","Workbook9","Sheet3","['Sheet3', 'Sheet2']","","","L7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"334","814090918000000","SmartRPA by marco2012","complete","2020-08-14T09:14:14.000","tony90","MicrosoftOffice","Microsoft PowerPoint","openPresentation","/kind/imagine.avi","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"197","402063108000000","SmartRPA by marco2012","complete","2020-04-02T06:43:43.000","cynthiahill","OperatingSystem","Explorer","openFolder","/establish/bag.mov","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"394","1028021021000000","SmartRPA by marco2012","complete","2020-10-28T02:19:35.000","caleb69","OperatingSystem","Explorer","openFolder","/stay/alone.flac","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"172","831044746000000","SmartRPA by marco2012","complete","2020-08-31T04:58:58.000","brianmiller","OperatingSystem","VisualStudioCode","programClose","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"176","402063108000000","SmartRPA by marco2012","complete","2020-04-02T06:32:25.000","cynthiahill","Browser","Chrome","submit","","","","","","","","","","","","","","","","","","","http://www.knight.com/environmental","[]","","","","","","","","","","","","stuff","","news","","","","","","","id(""political/div[1]/url[0]"")","id(""political/div[1]/url[0]"")"
"259","816064601000000","SmartRPA by marco2012","complete","2020-08-16T06:50:58.000","benjamin00","MicrosoftOffice","Microsoft Excel","selectWorksheet","","","","","Workbook3","Sheet14","['Sheet14', 'Sheet11']","","civil","F14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"94","1025051701000000","SmartRPA by marco2012","complete","2020-10-25T05:28:34.000","bgray","OperatingSystem","SublimeText","programClose","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"212","111142732000000","SmartRPA by marco2012","complete","2020-01-11T14:35:30.000","zwright","OperatingSystem","Explorer","created","/decade/care.json","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"422","1029140616000000","SmartRPA by marco2012","complete","2020-10-29T14:20:27.000","alejandro59","OperatingSystem","VisualStudioCode","programClose","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8","415130900000000","SmartRPA by marco2012","complete","2020-04-15T13:13:49.000","melissa36","MicrosoftOffice","Microsoft Excel","XMLImportWorkbook","","","","","Workbook4","Sheet9","['Sheet9', 'Sheet2']","","be","G0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"287","904164129000000","SmartRPA by marco2012","complete","2020-09-04T16:47:12.000","jenniferhays","OperatingSystem","Explorer","created","/decade/care.json","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"64","407171022000000","SmartRPA by marco2012","complete","2020-04-07T17:17:36.000","shellymarquez","Browser","Chrome","attachTab","","","","","","","","","","","","","","","","","","","http://cooper-hall.info/","[""fromAddressBar""]","","","","","","","","","","INPUT","text","store","","within","","","","","","","id(""cup/section[1]"")","id(""cup/section[1]"")"
"387","1028021021000000","SmartRPA by marco2012","complete","2020-10-28T02:17:07.000","caleb69","OperatingSystem","Explorer","created","/decade/care.json","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"219","111142732000000","SmartRPA by marco2012","complete","2020-01-11T14:38:28.000","zwright","OperatingSystem","Explorer","deleted","/design/bank.ods","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"424","1029140616000000","SmartRPA by marco2012","complete","2020-10-29T14:22:13.000","alejandro59","OperatingSystem","SublimeText","programClose","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"270","816064601000000","SmartRPA by marco2012","complete","2020-08-16T06:56:18.000","benjamin00","OperatingSystem","Skype","programClose","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"83","1025051701000000","SmartRPA by marco2012","complete","2020-10-25T05:22:24.000","bgray","MicrosoftOffice","Microsoft Excel","getRange","","","","","Workbook16","Sheet9","['Sheet9', 'Sheet5']","","","P7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"136","111113159000000","SmartRPA by marco2012","complete","2020-01-11T11:39:20.000","cookjacqueline","Browser","Chrome","enableBrowserExtension","","","","","","","","","","","","","","","","","","","https://www.smith-watkins.com/","[]","","","","","","","","","","","","west","","political","","","","","","","id(""political/div[1]/url[0]"")","id(""political/div[1]/url[0]"")"
"149","111113159000000","SmartRPA by marco2012","complete","2020-01-11T11:46:12.000","cookjacqueline","OperatingSystem","Explorer","deleted","/quite/military.mp3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"102","719022823000000","SmartRPA by marco2012","complete","2020-07-19T02:29:19.000","sharper","Browser","Chrome","modifyBookmark","","","","","","","","","","","","","","","","check_link","","","https://www.thomas-simpson.com/person","[]","","","","","","","","","","IMG","","structure","","amount","","","","","","","id(""cultural"")","id(""cultural"")"
"341","814090918000000","SmartRPA by marco2012","complete","2020-08-14T09:18:21.000","tony90","OperatingSystem","Explorer","deleted","/up/development.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"65","407171022000000","SmartRPA by marco2012","complete","2020-04-07T17:18:03.000","shellymarquez","OperatingSystem","Explorer","moved","/kind/imagine.avi","/sea/eat.mp4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
