"Unnamed: 0","target.name","case:creator","lifecycle:transition","timeStamp","userID","target.class","targetApp","eventType","event_src_path","event_dest_path","content","mouse_coord","target.workbookName","target.sheetName","worksheets","sheets","cell_content","cell_range","cell_range_number","window_size","slides","effect","hotkey","target.id","title","description","url","eventQual","tab_moved_from_index","tab_moved_to_index","newZoomFactor","oldZoomFactor","tab_pinned","tab_audible","tab_muted","window_ingognito","file_size","tag_category","target.type","target.tagName","target.title","target.value","target.checked","target.innerHTML","target.href","target.innerText","target.option","tag_attributes","xpath","xpath_full"
"56","407171022000000","SmartRPA by marco2012","complete","2020-04-07T17:14:12.000","shellymarquez","MicrosoftOffice","Microsoft PowerPoint","slideshowBegin","/forward/year.mov","","","","","","","","","","","","0, 1, 2, 3, 4","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1028","416160934000000","SmartRPA by marco2012","complete","2020-04-16T16:12:15.000","mary08","Browser","Chrome","clickLink","","","","","","","","","","","","","","","","","","","https://www.smith-watkins.com/middle","[""serverRedirect""]","","","","","","","","","","INPUT","text","news","","be","","","","","","","id(""cultural"")","id(""cultural"")"
"304","228000309000000","SmartRPA by marco2012","complete","2020-02-28T00:05:54.000","hpetersen","Browser","Chrome","submit","","","","","","","","","","","","","","","","input_text","","","http://cooper-hall.info/","[""serverRedirect"",""fromAddressBar""]","","","","","","","","","","A","","store","","stuff","","","","","","","id(""political/div[1]/url[0]"")","id(""political/div[1]/url[0]"")"
"41","908071338000000","SmartRPA by marco2012","complete","2020-09-08T07:23:05.000","allisonkeith","OperatingSystem","Explorer","moved","/reduce/way.csv","/up/development.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"884","509154651000000","SmartRPA by marco2012","complete","2020-05-09T15:50:45.000","pamelafields","MicrosoftOffice","Microsoft PowerPoint","newPresentationSlide","/design/bank.ods","","","","","","","","","","","","0, 1, 2, 3","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1003","124224430000000","SmartRPA by marco2012","complete","2020-01-24T22:47:03.000","moorejorge","Browser","Chrome","newWindow","","","","","","","","","","","","","","","","","","","http://mckinney.biz/","[]","","","","","","","","","","A","","stuff","","","","","","","","","id(""cup/section[1]"")","id(""cup/section[1]"")"
"676","1104165910000000","SmartRPA by marco2012","complete","2020-11-04T17:00:28.000","paul13","Browser","Chrome","removeBookmark","","","","","","","","","","","","","","","","","","","http://www.werner.com/last","[]","","","","","","","","","","IMG","","structure","","political","","","","","","","id(""cultural"")","id(""cultural"")"
"701","505051644000000","SmartRPA by marco2012","complete","2020-05-05T05:18:17.000","alexis48","Browser","Chrome","submit","","","","","","","","","","","","","","","","","","","http://www.fisher.com/","[""serverRedirect""]","","","","","","","","","","","","","","True","","","","","","","id(""cup/section[1]"")","id(""cup/section[1]"")"
"101","719022823000000","SmartRPA by marco2012","complete","2020-07-19T02:28:55.000","sharper","Browser","Chrome","cancelDialog","","","","","","","","","","","","","","","","","","","http://www.knight.com/environmental","[""serverRedirect"",""fromAddressBar""]","","","","","","","","","","DIV","","commercial","","civil","","","","","","","id(""cup/section[1]"")","id(""cup/section[1]"")"
"828","714112346000000","SmartRPA by marco2012","complete","2020-07-14T11:24:43.000","jamielopez","Browser","Chrome","newTab","","","","","","","","","","","","","","","","","","","https://www.smith-watkins.com/","[""serverRedirect""]","","","","","","","","","","A","","no","","True","","","","","","","id(""cultural"")","id(""cultural"")"
