,experimentID,uiLogName,variationPercentage,percentageMotifsOverLog,motifLength,windowSize,windowSizeMatch,motifsToBeDiscovered,motifsDiscovered,numberOfOccurrancesToBeDiscovered,OccurancesDiscovered,DiscoveryPercentage,alignmentAccuracy,executionTimeEncoding,executionTimeDiscovery,motifSpots,discoveredSpots,DiscoveryLoops,WindowSizeMatch
0,0.0,LenLog_1_10_1_10_10_10_1000.csv,10,10.0,10,5,,1,1,10,2,20.0,0.0,0.3817777633666992,17.33428406715393,"[907, 695, 666, 507, 489, 417, 368, 343, 118, 56]","[118, 56]",,5.0
1,0.1,LenLog_1_10_1_10_10_10_1000.csv,10,10.0,10,10,,1,1,10,8,80.0,0.0,0.3817777633666992,0.029113054275512695,"[907, 695, 666, 507, 489, 417, 368, 343, 118, 56]","[417, 907, 368, 118, 695, 666, 507, 343]",,0.0
2,0.2,LenLog_1_10_1_10_10_10_1000.csv,10,10.0,10,15,,1,1,10,6,60.0,5.166666666666667,0.3817777633666992,0.03642868995666504,"[907, 695, 666, 507, 489, 417, 368, 343, 118, 56]","[412, 901, 363, 113, 661, 502]",,-5.0
3,0.3,LenLog_1_10_1_10_10_10_1000.csv,10,10.0,10,20,,1,1,10,7,70.0,8.285714285714286,0.3817777633666992,0.011769294738769531,"[907, 695, 666, 507, 489, 417, 368, 343, 118, 56]","[409, 499, 898, 361, 110, 658, 499]",,-10.0
4,0.4,LenLog_1_10_1_10_10_10_1000.csv,10,10.0,10,25,,1,1,10,2,20.0,7.5,0.3817777633666992,0.03238105773925781,"[907, 695, 666, 507, 489, 417, 368, 343, 118, 56]","[493, 354]",,-15.0
5,0.5,LenLog_1_10_1_10_10_10_1000.csv,10,10.0,10,30,,1,1,10,3,30.0,3.3333333333333335,0.3817777633666992,0.014957904815673828,"[907, 695, 666, 507, 489, 417, 368, 343, 118, 56]","[488, 126, 506]",,-20.0
6,1.0,LenLog_1_10_1_10_10_1_10000.csv,10,1.0,10,5,,1,1,10,5,50.0,0.0,4.559281587600708,1.2408969402313232,"[9973, 5343, 5290, 4658, 4225, 3359, 3182, 2861, 2384, 1032]","[4225, 3359, 1032, 2384, 4658]",,5.0
7,1.1,LenLog_1_10_1_10_10_1_10000.csv,10,1.0,10,10,,1,1,10,8,80.0,0.0,4.559281587600708,1.4000072479248047,"[9973, 5343, 5290, 4658, 4225, 3359, 3182, 2861, 2384, 1032]","[4225, 3359, 1032, 2861, 3182, 2384, 4658, 9973]",,0.0
8,1.2,LenLog_1_10_1_10_10_1_10000.csv,10,1.0,10,15,,1,1,10,7,70.0,0.14285714285714285,4.559281587600708,1.3434717655181885,"[9973, 5343, 5290, 4658, 4225, 3359, 3182, 2861, 2384, 1032]","[4225, 1032, 5290, 2861, 2384, 4658, 5342]",,-5.0
9,1.3,LenLog_1_10_1_10_10_1_10000.csv,10,1.0,10,20,,1,1,10,0,0.0,,4.559281587600708,1.435485601425171,"[9973, 5343, 5290, 4658, 4225, 3359, 3182, 2861, 2384, 1032]",[],,-10.0
10,1.4,LenLog_1_10_1_10_10_1_10000.csv,10,1.0,10,25,,1,1,10,7,70.0,1.5714285714285714,4.559281587600708,1.3447129726409912,"[9973, 5343, 5290, 4658, 4225, 3359, 3182, 2861, 2384, 1032]","[4223, 2860, 3180, 2382, 4657, 9972, 5341]",,-15.0
11,1.5,LenLog_1_10_1_10_10_1_10000.csv,10,1.0,10,30,,1,1,10,1,10.0,14.0,4.559281587600708,1.3667361736297607,"[9973, 5343, 5290, 4658, 4225, 3359, 3182, 2861, 2384, 1032]",[5357],,-20.0
12,2.0,LenLog_1_10_1_10_10_2-5_4000.csv,10,2.5,10,5,,1,1,10,2,20.0,1.0,2.142228603363037,0.1524975299835205,"[3741, 3454, 3039, 2495, 2120, 1668, 1618, 1267, 307, 166]","[167, 3455]",,5.0
13,2.1,LenLog_1_10_1_10_10_2-5_4000.csv,10,2.5,10,10,,1,1,10,2,20.0,0.0,2.142228603363037,0.2002558708190918,"[3741, 3454, 3039, 2495, 2120, 1668, 1618, 1267, 307, 166]","[1668, 1267]",,0.0
14,2.2,LenLog_1_10_1_10_10_2-5_4000.csv,10,2.5,10,15,,1,1,10,4,40.0,2.0,2.142228603363037,0.21724963188171387,"[3741, 3454, 3039, 2495, 2120, 1668, 1618, 1267, 307, 166]","[2118, 3037, 3739, 2493]",,-5.0
15,2.3,LenLog_1_10_1_10_10_2-5_4000.csv,10,2.5,10,20,,1,1,10,3,30.0,5.0,2.142228603363037,0.2549760341644287,"[3741, 3454, 3039, 2495, 2120, 1668, 1618, 1267, 307, 166]","[2115, 3034, 3736]",,-10.0
16,2.4,LenLog_1_10_1_10_10_2-5_4000.csv,10,2.5,10,25,,1,1,10,0,0.0,,2.142228603363037,0.20693063735961914,"[3741, 3454, 3039, 2495, 2120, 1668, 1618, 1267, 307, 166]",[],,-15.0
17,2.5,LenLog_1_10_1_10_10_2-5_4000.csv,10,2.5,10,30,,1,1,10,0,0.0,,2.142228603363037,0.22803854942321777,"[3741, 3454, 3039, 2495, 2120, 1668, 1618, 1267, 307, 166]",[],,-20.0
18,3.0,LenLog_1_10_1_10_10_5_2000.csv,10,5.0,10,5,,1,1,10,2,20.0,0.0,1.0814144611358643,0.054050445556640625,"[1973, 1808, 1798, 1611, 1305, 1163, 896, 737, 546, 259]","[259, 1798]",,5.0
19,3.1,LenLog_1_10_1_10_10_5_2000.csv,10,5.0,10,10,,1,1,10,2,20.0,0.0,1.0814144611358643,0.06870484352111816,"[1973, 1808, 1798, 1611, 1305, 1163, 896, 737, 546, 259]","[259, 1798]",,0.0
