,experimentID,EncodingMethod,uiLogName,variationPercentage,percentageMotifsOverLog,motifLength,windowSize,windowSizeMatch,motifsToBeDiscovered,motifsDiscovered,numberOfOccurrancesToBeDiscovered,OccurancesDiscovered,DiscoveryPercentage,alignmentAccuracy,executionTimeEncoding,executionTimeDiscovery,motifSpots,discoveredSpots,DiscoveryLoops,WindowSizeMatch
0,0.0,Occurrance,LenLog_1_10_1_10_10_10_1000.csv,10,10.0,10,5,,1,1,10,0,0.0,,0.4720487594604492,0.026031494140625,"[907, 695, 666, 507, 489, 417, 368, 343, 118, 56]",[],,5.0
1,0.1,Occurrance,LenLog_1_10_1_10_10_10_1000.csv,10,10.0,10,10,,1,1,10,8,80.0,0.0,0.4720487594604492,0.017548322677612305,"[907, 695, 666, 507, 489, 417, 368, 343, 118, 56]","[417, 907, 368, 118, 695, 666, 507, 343]",,0.0
2,0.2,Occurrance,LenLog_1_10_1_10_10_10_1000.csv,10,10.0,10,15,,1,1,10,7,70.0,3.2857142857142856,0.4720487594604492,0.01640033721923828,"[907, 695, 666, 507, 489, 417, 368, 343, 118, 56]","[414, 904, 365, 115, 51, 663, 504]",,-5.0
3,0.3,Occurrance,LenLog_1_10_1_10_10_10_1000.csv,10,10.0,10,20,,1,1,10,5,50.0,5.0,0.4720487594604492,0.01553964614868164,"[907, 695, 666, 507, 489, 417, 368, 343, 118, 56]","[363, 113, 690, 661, 502]",,-10.0
4,0.4,Occurrance,LenLog_1_10_1_10_10_10_1000.csv,10,10.0,10,25,,1,1,10,7,70.0,7.142857142857143,0.4720487594604492,0.027270078659057617,"[907, 695, 666, 507, 489, 417, 368, 343, 118, 56]","[411, 482, 900, 361, 47, 660, 499]",,-15.0
5,0.5,Occurrance,LenLog_1_10_1_10_10_10_1000.csv,10,10.0,10,30,,1,1,10,3,30.0,9.0,0.4720487594604492,0.011103153228759766,"[907, 695, 666, 507, 489, 417, 368, 343, 118, 56]","[402, 67, 342]",,-20.0
6,1.0,Occurrance,LenLog_1_10_1_10_10_1_10000.csv,10,1.0,10,5,,1,1,10,3,30.0,1.0,5.0845253467559814,0.24050331115722656,"[9973, 5343, 5290, 4658, 4225, 3359, 3182, 2861, 2384, 1032]","[2860, 3181, 4657]",,5.0
7,1.1,Occurrance,LenLog_1_10_1_10_10_1_10000.csv,10,1.0,10,10,,1,1,10,9,90.0,0.0,5.0845253467559814,0.2617061138153076,"[9973, 5343, 5290, 4658, 4225, 3359, 3182, 2861, 2384, 1032]","[4225, 3359, 1032, 2861, 3182, 2384, 4658, 9973, 5343]",,0.0
8,1.2,Occurrance,LenLog_1_10_1_10_10_1_10000.csv,10,1.0,10,15,,1,1,10,4,40.0,0.0,5.0845253467559814,0.21173501014709473,"[9973, 5343, 5290, 4658, 4225, 3359, 3182, 2861, 2384, 1032]","[1032, 5290, 2384, 4658]",,-5.0
9,1.3,Occurrance,LenLog_1_10_1_10_10_1_10000.csv,10,1.0,10,20,,1,1,10,0,0.0,,5.0845253467559814,0.20817828178405762,"[9973, 5343, 5290, 4658, 4225, 3359, 3182, 2861, 2384, 1032]",[],,-10.0
10,1.4,Occurrance,LenLog_1_10_1_10_10_1_10000.csv,10,1.0,10,25,,1,1,10,0,0.0,,5.0845253467559814,0.20311641693115234,"[9973, 5343, 5290, 4658, 4225, 3359, 3182, 2861, 2384, 1032]",[],,-15.0
11,1.5,Occurrance,LenLog_1_10_1_10_10_1_10000.csv,10,1.0,10,30,,1,1,10,0,0.0,,5.0845253467559814,0.1619865894317627,"[9973, 5343, 5290, 4658, 4225, 3359, 3182, 2861, 2384, 1032]",[],,-20.0
12,2.0,Occurrance,LenLog_1_10_1_10_10_2-5_4000.csv,10,2.5,10,5,,1,1,10,0,0.0,,2.0943479537963867,0.03766345977783203,"[3741, 3454, 3039, 2495, 2120, 1668, 1618, 1267, 307, 166]",[],,5.0
13,2.1,Occurrance,LenLog_1_10_1_10_10_2-5_4000.csv,10,2.5,10,10,,1,1,10,2,20.0,0.0,2.0943479537963867,0.07274794578552246,"[3741, 3454, 3039, 2495, 2120, 1668, 1618, 1267, 307, 166]","[1668, 1267]",,0.0
14,2.2,Occurrance,LenLog_1_10_1_10_10_2-5_4000.csv,10,2.5,10,15,,1,1,10,0,0.0,,2.0943479537963867,0.04099321365356445,"[3741, 3454, 3039, 2495, 2120, 1668, 1618, 1267, 307, 166]",[],,-5.0
15,2.3,Occurrance,LenLog_1_10_1_10_10_2-5_4000.csv,10,2.5,10,20,,1,1,10,0,0.0,,2.0943479537963867,0.03125882148742676,"[3741, 3454, 3039, 2495, 2120, 1668, 1618, 1267, 307, 166]",[],,-10.0
16,2.4,Occurrance,LenLog_1_10_1_10_10_2-5_4000.csv,10,2.5,10,25,,1,1,10,5,50.0,1.8,2.0943479537963867,0.05812549591064453,"[3741, 3454, 3039, 2495, 2120, 1668, 1618, 1267, 307, 166]","[164, 1263, 3038, 3739, 3454]",,-15.0
17,2.5,Occurrance,LenLog_1_10_1_10_10_2-5_4000.csv,10,2.5,10,30,,1,1,10,5,50.0,7.4,2.0943479537963867,0.044493913650512695,"[3741, 3454, 3039, 2495, 2120, 1668, 1618, 1267, 307, 166]","[159, 1258, 3033, 3734, 3446]",,-20.0
18,3.0,Occurrance,LenLog_1_10_1_10_10_5_2000.csv,10,5.0,10,5,,1,1,10,0,0.0,,0.9320158958435059,0.017773866653442383,"[1973, 1808, 1798, 1611, 1305, 1163, 896, 737, 546, 259]",[],,5.0
19,3.1,Occurrance,LenLog_1_10_1_10_10_5_2000.csv,10,5.0,10,10,,1,1,10,2,20.0,0.0,0.9320158958435059,0.030097007751464844,"[1973, 1808, 1798, 1611, 1305, 1163, 896, 737, 546, 259]","[259, 1798]",,0.0
20,3.2,Occurrance,LenLog_1_10_1_10_10_5_2000.csv,10,5.0,10,15,,1,1,10,4,40.0,5.0,0.9320158958435059,0.01581573486328125,"[1973, 1808, 1798, 1611, 1305, 1163, 896, 737, 546, 259]","[891, 1158, 1968, 1300]",,-5.0
21,3.3,Occurrance,LenLog_1_10_1_10_10_5_2000.csv,10,5.0,10,20,,1,1,10,6,60.0,4.0,0.9320158958435059,0.027632951736450195,"[1973, 1808, 1798, 1611, 1305, 1163, 896, 737, 546, 259]","[892, 733, 255, 1159, 1969, 1301]",,-10.0
22,3.4,Occurrance,LenLog_1_10_1_10_10_5_2000.csv,10,5.0,10,25,,1,1,10,4,40.0,5.0,0.9320158958435059,0.015905380249023438,"[1973, 1808, 1798, 1611, 1305, 1163, 896, 737, 546, 259]","[254, 1158, 1968, 1300]",,-15.0
23,3.5,Occurrance,LenLog_1_10_1_10_10_5_2000.csv,10,5.0,10,30,,1,1,10,5,50.0,8.2,0.9320158958435059,0.020766735076904297,"[1973, 1808, 1798, 1611, 1305, 1163, 896, 737, 546, 259]","[729, 250, 1155, 1965, 1297]",,-20.0
24,4.0,Occurrance,LenLog_1_10_1_10_15_10_1500.csv,10,10.0,15,5,,1,1,10,0,0.0,,0.7678260803222656,0.0,"[1426, 1246, 1135, 749, 477, 449, 308, 270, 195, 118]",[],,10.0
