,uiLogName,variationPercentage,numberOfOccurrancesToBeDiscovered,motifLength,percentageMotifsOverLog,logLength,motifSpots,caseIds,motifsToBeDiscovered
0,LenLog_1_1_10_5_1_5000.csv,0,10,5,1,5000,"[4282, 4239, 3774, 3612, 2094, 1974, 1563, 1312, 516, 238]","[110014419000000, 110014419000000, 110014419000000, 110014419000000, 110014419000000, 110014419000000, 110014419000000, 110014419000000, 110014419000000, 110014419000000]",1
1,LenLog_1_1_10_10_1_10000.csv,0,10,10,1,10000,"[9272, 9201, 8405, 7064, 5476, 4267, 2624, 1005, 610, 507]","[1108185715000000, 1108185715000000, 1108185715000000, 1108185715000000, 1108185715000000, 1108185715000000, 1108185715000000, 1108185715000000, 1108185715000000, 1108185715000000]",1
2,LenLog_1_1_10_15_1_15000.csv,0,10,15,1,15000,"[13953, 12687, 12518, 8960, 8246, 7437, 5460, 3218, 702, 360]","[321215557000000, 321215557000000, 321215557000000, 321215557000000, 321215557000000, 321215557000000, 321215557000000, 321215557000000, 321215557000000, 321215557000000]",1
3,LenLog_1_1_10_20_1_20000.csv,0,10,20,1,20000,"[18996, 15823, 14527, 13175, 11874, 11421, 11262, 6154, 3622, 710]","[126043252000000, 126043252000000, 126043252000000, 126043252000000, 126043252000000, 126043252000000, 126043252000000, 126043252000000, 126043252000000, 126043252000000]",1
4,LenLog_1_1_10_25_1_25000.csv,0,10,25,1,25000,"[24822, 24442, 23049, 21004, 20915, 18435, 17736, 9932, 5380, 3031]","[430032005000000, 430032005000000, 430032005000000, 430032005000000, 430032005000000, 430032005000000, 430032005000000, 430032005000000, 430032005000000, 430032005000000]",1
5,LenLog_1_1_10_5_2-5_2000.csv,0,10,5,2.5,2000,"[1708, 1647, 1414, 1308, 1175, 1050, 938, 625, 535, 86]","[328062037000000, 328062037000000, 328062037000000, 328062037000000, 328062037000000, 328062037000000, 328062037000000, 328062037000000, 328062037000000, 328062037000000]",1
6,LenLog_1_1_10_10_2-5_4000.csv,0,10,10,2.5,4000,"[3610, 3427, 3144, 3041, 2864, 2738, 2481, 2428, 167, 52]","[927211650000000, 927211650000000, 927211650000000, 927211650000000, 927211650000000, 927211650000000, 927211650000000, 927211650000000, 927211650000000, 927211650000000]",1
7,LenLog_1_1_10_15_2-5_6000.csv,0,10,15,2.5,6000,"[4628, 4565, 3599, 2693, 2389, 2186, 1795, 1272, 1050, 265]","[224052629000000, 224052629000000, 224052629000000, 224052629000000, 224052629000000, 224052629000000, 224052629000000, 224052629000000, 224052629000000, 224052629000000]",1
8,LenLog_1_1_10_20_2-5_8000.csv,0,10,20,2.5,8000,"[7386, 6670, 6388, 5661, 4195, 3235, 2913, 2147, 1984, 1414]","[626184843000000, 626184843000000, 626184843000000, 626184843000000, 626184843000000, 626184843000000, 626184843000000, 626184843000000, 626184843000000, 626184843000000]",1
9,LenLog_1_1_10_25_2-5_10000.csv,0,10,25,2.5,10000,"[9886, 8767, 8532, 6883, 6070, 5833, 5531, 5221, 4997, 3445]","[413193333000000, 413193333000000, 413193333000000, 413193333000000, 413193333000000, 413193333000000, 413193333000000, 413193333000000, 413193333000000, 413193333000000]",1
10,LenLog_1_1_10_5_5_1000.csv,0,10,5,5,1000,"[878, 803, 796, 699, 560, 490, 457, 375, 337, 173]","[1102172212000000, 1102172212000000, 1102172212000000, 1102172212000000, 1102172212000000, 1102172212000000, 1102172212000000, 1102172212000000, 1102172212000000, 1102172212000000]",1
11,LenLog_1_1_10_10_5_2000.csv,0,10,10,5,2000,"[1804, 1747, 1703, 1426, 706, 408, 362, 314, 289, 0]","[117210523000000, 117210523000000, 117210523000000, 117210523000000, 117210523000000, 117210523000000, 117210523000000, 117210523000000, 117210523000000, 117210523000000]",1
12,LenLog_1_1_10_15_5_3000.csv,0,10,15,5,3000,"[2847, 2075, 1918, 1809, 1776, 1505, 1444, 679, 385, 124]","[326005938000000, 326005938000000, 326005938000000, 326005938000000, 326005938000000, 326005938000000, 326005938000000, 326005938000000, 326005938000000, 326005938000000]",1
