,experimentID,EncodingMethod,uiLogName,variationPercentage,percentageMotifsOverLog,motifLength,windowSize,windowSizeMatch,motifsToBeDiscovered,motifsDiscovered,numberOfOccurrancesToBeDiscovered,OccurancesDiscovered/TP,topMotifsT,DiscoveryPercentage,alignmentAccuracy,Precision,Recall,F1-Score,ExecutionTime,executionTimeEncoding,executionTimeDiscovery,motifSpots,discoveredSpots,DiscoveryLoops
0,0.0,Hierarchy,LenLog_1_10_1_10_10_10_1000.csv,10,10.0,10,5,-5,1,1,10,0,10,0.0,,0.0,0.0,0,17.841869831085205,0.009543418884277344,17.832326412200928,"[907, 695, 666, 507, 489, 417, 368, 343, 118, 56]",[],
1,0.1,Hierarchy,LenLog_1_10_1_10_10_10_1000.csv,10,10.0,10,10,0,1,1,10,1,10,10.0,5.0,0.1,0.1,0.10000000000000002,0.020931482315063477,0.009543418884277344,0.011388063430786133,"[907, 695, 666, 507, 489, 417, 368, 343, 118, 56]",[512],
2,0.2,Hierarchy,LenLog_1_10_1_10_10_10_1000.csv,10,10.0,10,15,5,1,1,10,2,10,20.0,4.0,0.2,0.2,0.20000000000000004,0.026337146759033203,0.009543418884277344,0.01679372787475586,"[907, 695, 666, 507, 489, 417, 368, 343, 118, 56]","[416, 500]",
3,0.3,Hierarchy,LenLog_1_10_1_10_10_10_1000.csv,10,10.0,10,20,10,1,1,10,1,10,10.0,0.0,0.1,0.1,0.10000000000000002,0.018180131912231445,0.009543418884277344,0.008636713027954102,"[907, 695, 666, 507, 489, 417, 368, 343, 118, 56]",[417],
4,0.4,Hierarchy,LenLog_1_10_1_10_10_10_1000.csv,10,10.0,10,25,15,1,1,10,3,10,30.0,9.0,0.3,0.3,0.3,0.024986982345581055,0.009543418884277344,0.015443563461303711,"[907, 695, 666, 507, 489, 417, 368, 343, 118, 56]","[412, 917, 380]",
5,0.5,Hierarchy,LenLog_1_10_1_10_10_10_1000.csv,10,10.0,10,30,20,1,1,10,2,10,20.0,7.5,0.2,0.2,0.20000000000000004,0.03287315368652344,0.009543418884277344,0.023329734802246094,"[907, 695, 666, 507, 489, 417, 368, 343, 118, 56]","[416, 921]",
6,1.0,Hierarchy,LenLog_1_10_1_10_10_1_10000.csv,10,1.0,10,5,-5,1,1,10,5,10,50.0,0.0,0.5,0.5,0.5,1.4497621059417725,0.011938095092773438,1.437824010848999,"[9973, 5343, 5290, 4658, 4225, 3359, 3182, 2861, 2384, 1032]","[4225, 3359, 1032, 2384, 4658]",
7,1.1,Hierarchy,LenLog_1_10_1_10_10_1_10000.csv,10,1.0,10,10,0,1,1,10,7,10,70.0,0.0,0.7,0.7,0.7,1.4301342964172363,0.011938095092773438,1.418196201324463,"[9973, 5343, 5290, 4658, 4225, 3359, 3182, 2861, 2384, 1032]","[4225, 3359, 1032, 2861, 2384, 4658, 9973]",
8,1.2,Hierarchy,LenLog_1_10_1_10_10_1_10000.csv,10,1.0,10,15,5,1,1,10,9,20,90.0,0.7777777777777778,0.45,0.9,0.6,1.2323188781738281,0.011938095092773438,1.2203807830810547,"[9973, 5343, 5290, 4658, 4225, 3359, 3182, 2861, 2384, 1032]","[4224, 3363, 1032, 5290, 2861, 3181, 2384, 4658, 5342]",
9,1.3,Hierarchy,LenLog_1_10_1_10_10_1_10000.csv,10,1.0,10,20,10,1,1,10,7,10,70.0,1.5714285714285714,0.7,0.7,0.7,1.304809808731079,0.011938095092773438,1.2928717136383057,"[9973, 5343, 5290, 4658, 4225, 3359, 3182, 2861, 2384, 1032]","[4223, 2860, 3180, 2383, 4657, 9971, 5341]",
10,1.4,Hierarchy,LenLog_1_10_1_10_10_1_10000.csv,10,1.0,10,25,15,1,1,10,7,10,70.0,1.4285714285714286,0.7,0.7,0.7,1.1680738925933838,0.011938095092773438,1.1561357975006104,"[9973, 5343, 5290, 4658, 4225, 3359, 3182, 2861, 2384, 1032]","[4223, 2860, 3181, 2383, 4657, 9971, 5341]",
11,1.5,Hierarchy,LenLog_1_10_1_10_10_1_10000.csv,10,1.0,10,30,20,1,1,10,6,10,60.0,7.0,0.6,0.6,0.6,1.2626640796661377,0.011938095092773438,1.2507259845733643,"[9973, 5343, 5290, 4658, 4225, 3359, 3182, 2861, 2384, 1032]","[2854, 3175, 2379, 4651, 9965, 5335]",
12,2.0,Hierarchy,LenLog_1_10_1_10_10_2-5_4000.csv,10,2.5,10,5,-5,1,1,10,2,10,20.0,1.0,0.2,0.2,0.20000000000000004,0.19964885711669922,0.01612377166748047,0.18352508544921875,"[3741, 3454, 3039, 2495, 2120, 1668, 1618, 1267, 307, 166]","[167, 3455]",
13,2.1,Hierarchy,LenLog_1_10_1_10_10_2-5_4000.csv,10,2.5,10,10,0,1,1,10,2,10,20.0,0.0,0.2,0.2,0.20000000000000004,0.2158205509185791,0.01612377166748047,0.19969677925109863,"[3741, 3454, 3039, 2495, 2120, 1668, 1618, 1267, 307, 166]","[1668, 1267]",
14,2.2,Hierarchy,LenLog_1_10_1_10_10_2-5_4000.csv,10,2.5,10,15,5,1,1,10,9,20,90.0,4.111111111111111,0.45,0.9,0.6,0.21579623222351074,0.01612377166748047,0.19967246055603027,"[3741, 3454, 3039, 2495, 2120, 1668, 1618, 1267, 307, 166]","[1664, 162, 2116, 1263, 303, 3036, 3738, 3447, 2491]",
15,2.3,Hierarchy,LenLog_1_10_1_10_10_2-5_4000.csv,10,2.5,10,20,10,1,1,10,7,10,70.0,9.714285714285714,0.7,0.7,0.7,0.2196953296661377,0.01612377166748047,0.20357155799865723,"[3741, 3454, 3039, 2495, 2120, 1668, 1618, 1267, 307, 166]","[1658, 156, 2111, 1257, 3029, 3731, 2486]",
16,2.4,Hierarchy,LenLog_1_10_1_10_10_2-5_4000.csv,10,2.5,10,25,15,1,1,10,0,10,0.0,,0.0,0.0,0,0.24267244338989258,0.01612377166748047,0.2265486717224121,"[3741, 3454, 3039, 2495, 2120, 1668, 1618, 1267, 307, 166]",[],
17,2.5,Hierarchy,LenLog_1_10_1_10_10_2-5_4000.csv,10,2.5,10,30,20,1,1,10,0,10,0.0,,0.0,0.0,0,0.23292136192321777,0.01612377166748047,0.2167975902557373,"[3741, 3454, 3039, 2495, 2120, 1668, 1618, 1267, 307, 166]",[],
18,3.0,Hierarchy,LenLog_1_10_1_10_10_5_2000.csv,10,5.0,10,5,-5,1,1,10,3,10,30.0,0.0,0.3,0.3,0.3,0.08311152458190918,0.016774892807006836,0.06633663177490234,"[1973, 1808, 1798, 1611, 1305, 1163, 896, 737, 546, 259]","[546, 259, 1798]",
19,3.1,Hierarchy,LenLog_1_10_1_10_10_5_2000.csv,10,5.0,10,10,0,1,1,10,5,10,50.0,0.0,0.5,0.5,0.5,0.10116934776306152,0.016774892807006836,0.08439445495605469,"[1973, 1808, 1798, 1611, 1305, 1163, 896, 737, 546, 259]","[737, 1163, 1808, 1973, 1305]",
20,3.2,Hierarchy,LenLog_1_10_1_10_10_5_2000.csv,10,5.0,10,15,5,1,1,10,3,10,30.0,5.0,0.3,0.3,0.3,0.09838986396789551,0.016774892807006836,0.08161497116088867,"[1973, 1808, 1798, 1611, 1305, 1163, 896, 737, 546, 259]","[891, 1158, 1968]",
21,3.3,Hierarchy,LenLog_1_10_1_10_10_5_2000.csv,10,5.0,10,20,10,1,1,10,4,10,40.0,3.5,0.4,0.4,0.4000000000000001,0.09310388565063477,0.016774892807006836,0.07632899284362793,"[1973, 1808, 1798, 1611, 1305, 1163, 896, 737, 546, 259]","[734, 1802, 1610, 1802]",
22,3.4,Hierarchy,LenLog_1_10_1_10_10_5_2000.csv,10,5.0,10,25,15,1,1,10,4,10,40.0,6.0,0.4,0.4,0.4000000000000001,0.07211875915527344,0.016774892807006836,0.0553438663482666,"[1973, 1808, 1798, 1611, 1305, 1163, 896, 737, 546, 259]","[541, 1600, 1159, 1969]",
23,3.5,Hierarchy,LenLog_1_10_1_10_10_5_2000.csv,10,5.0,10,30,20,1,1,10,2,10,20.0,5.0,0.2,0.2,0.20000000000000004,0.0655360221862793,0.016774892807006836,0.04876112937927246,"[1973, 1808, 1798, 1611, 1305, 1163, 896, 737, 546, 259]","[1801, 1801]",
24,4.0,Hierarchy,LenLog_1_10_1_10_15_10_1500.csv,10,10.0,15,5,-10,1,1,10,5,10,50.0,1.0,0.5,0.5,0.5,0.050275325775146484,0.0,0.050275325775146484,"[1426, 1246, 1135, 749, 477, 449, 308, 270, 195, 118]","[448, 194, 307, 117, 476]",
25,4.1,Hierarchy,LenLog_1_10_1_10_15_10_1500.csv,10,10.0,15,10,-5,1,1,10,4,10,40.0,1.0,0.4,0.4,0.4000000000000001,0.04962158203125,0.0,0.04962158203125,"[1426, 1246, 1135, 749, 477, 449, 308, 270, 195, 118]","[194, 307, 117, 476]",
26,4.2,Hierarchy,LenLog_1_10_1_10_15_10_1500.csv,10,10.0,15,15,0,1,1,10,3,10,30.0,1.0,0.3,0.3,0.3,0.05002403259277344,0.0,0.05002403259277344,"[1426, 1246, 1135, 749, 477, 449, 308, 270, 195, 118]","[194, 307, 117]",
27,4.3,Hierarchy,LenLog_1_10_1_10_15_10_1500.csv,10,10.0,15,20,5,1,1,10,10,20,100.0,5.8,0.5,1.0,0.6666666666666666,0.06645750999450684,0.0,0.06645750999450684,"[1426, 1246, 1135, 749, 477, 449, 308, 270, 195, 118]","[439, 190, 744, 266, 1126, 1420, 303, 113, 472, 1242]",
28,4.4,Hierarchy,LenLog_1_10_1_10_15_10_1500.csv,10,10.0,15,25,10,1,1,10,6,10,60.0,7.666666666666667,0.6,0.6,0.6,0.03355550765991211,0.0,0.03355550765991211,"[1426, 1246, 1135, 749, 477, 449, 308, 270, 195, 118]","[187, 263, 1127, 300, 469, 1239]",
29,4.5,Hierarchy,LenLog_1_10_1_10_15_10_1500.csv,10,10.0,15,30,15,1,1,10,10,20,100.0,8.1,0.5,1.0,0.6666666666666666,0.06699037551879883,0.0,0.06699037551879883,"[1426, 1246, 1135, 749, 477, 449, 308, 270, 195, 118]","[439, 184, 745, 266, 1126, 1423, 300, 109, 465, 1235]",
